po_no,vendor_ref,vendor_name,product_code,product_name,open_qty,unit_price,currency_src,delivery_date,reason
PO2500024,560,"SDS International (Japan) Co., Ltd.",805,เงินมัดจำจ่ายล่วงหน้า,1.0,19970000.0,JPB,,missing product; product missing in item master
PO2500284,13,บริษัท ฟิลแพค จำกัด,805,เงินมัดจำจ่ายล่วงหน้า,1.0,3748000.0,THB,,missing product; product missing in item master
PO2500285,878,WIRO Prazisions-Werkzeugbau Gmbh& Co.KG,990016,"hot runner nozzle complete setDrawing No : SW2545consisting of :-1x nozzle body (NZMSPB2A037-E)-1x torpedo tip (TPM002-2)-1x gate seal (TSM010-1)-3x retaining clips for thermocouple (1x TCRC19 ,2x TCRC21)-assembledH.S. Code :#84779080",1.0,1638.0,EUB,,missing product
PO2500285,878,WIRO Prazisions-Werkzeugbau Gmbh& Co.KG,990016,TPM002-2 MSP Torpedo E-Type Mold Max HHDrawing No : SW2545,3.0,164.0,EUB,,missing product
PO2500285,878,WIRO Prazisions-Werkzeugbau Gmbh& Co.KG,990016,TSM010-1 gate seal MSP torpedo E ViscoDrawing No. SW2545,3.0,98.0,EUB,,missing product
PO2500286,878,WIRO Prazisions-Werkzeugbau Gmbh& Co.KG,990011,mould insert ejector sideDrawing No.: SW2610 / pos. 21- unit price is only valid on acceptance of offered quantity,1.0,2565.0,EUB,,missing product
PO2500286,878,WIRO Prazisions-Werkzeugbau Gmbh& Co.KG,990011,hot runner nozzle complete setDrawing No.: SW2610 / Ewikon,2.0,3790.0,EUB,,missing product
PO2500286,878,WIRO Prazisions-Werkzeugbau Gmbh& Co.KG,990011,mould insert nozzle sideDrawing No.: SW2610 / pos. 20- unit price is only valid on acceptance of offered quantity,1.0,2040.0,EUB,,missing product
PO2500286,878,WIRO Prazisions-Werkzeugbau Gmbh& Co.KG,990011,torpedoDrawing No.: SW2610 / Ewikon,8.0,214.0,EUB,,missing product
PO2500287,878,WIRO Prazisions-Werkzeugbau Gmbh& Co.KG,990007,"hot runner nozzle complete setDrawing No.: SW2611 / pos. MMconsisting of:- 1x nozzle body (NZMSPB2A037-E)- 1x torpedo tip (TPM002-2)- 1x gate seal (TSM010)- 1x thermocouple (TCD1.0x150TH)- 3x retaining clips for thermocouple(1x TCRC19, 2x TCRC21)- assembledH.S. Code: #84779080",4.0,1638.0,EUB,,missing product
PO2500287,878,WIRO Prazisions-Werkzeugbau Gmbh& Co.KG,990007,TPM002-2 - MSP Torpedo E-Type Moldmax HHDrawing No.: SW2611 / pos. MM 14,32.0,164.0,EUB,,missing product
PO2500287,878,WIRO Prazisions-Werkzeugbau Gmbh& Co.KG,990007,TSM010 gate seal MSP torpedo E ViscoDrawing No.: SW2611 / pos. MM 15,4.0,98.0,EUB,,missing product
PO2500287,878,WIRO Prazisions-Werkzeugbau Gmbh& Co.KG,990007,cooling pipe - reworkedDrawing No.: SW2611 / pos. 78- unit price is only valid on acceptance of offered quantity,20.0,60.0,EUB,,missing product
PO2500288,878,WIRO Prazisions-Werkzeugbau Gmbh& Co.KG,990008,cycle counter HASCODrawing No.: SW2612 / Pos. 64,6.0,391.0,EUB,,missing product
PO2500288,878,WIRO Prazisions-Werkzeugbau Gmbh& Co.KG,990008,cooling pipe - reworkedDrawing No.: SW2612 / pos. 123- unit price is only valid on acceptance of offered quantity,60.0,20.0,EUB,,missing product
PO2500290,878,WIRO Prazisions-Werkzeugbau Gmbh& Co.KG,990010,mould insert ISDrawing No.: SW2614 / pos. 16- unit price is only valid on acceptance of offered quantity,16.0,782.0,EUB,,missing product
PO2500290,878,WIRO Prazisions-Werkzeugbau Gmbh& Co.KG,990010,mould core - cavity number moved upDrawing No.: SW2614 / pos. 18Attention!Engraving of cavity number moved upwards by approx. 5mm.- unit price is only valid on acceptance of offered quantity,12.0,593.0,EUB,,missing product
PO2500290,878,WIRO Prazisions-Werkzeugbau Gmbh& Co.KG,990010,"ejector sleeve, special designDrawing No.: SW2614 / pos. 91- unit price is only valid on acceptance of offered quantity",10.0,612.0,EUB,,missing product
