External ID,Vendor / External ID,Order Reference,Order Date,Currency / Name,Order Lines / External ID,Order Lines / Product / External ID,Order Lines / Description,Order Lines / Quantity,Order Lines / Unit Price,Order Lines / Expected Arrival
mig_po_PO2500097,__export__.res_partner_70695_26d2cf24,PO2500097,,THB,mig_po_line_PO2500097_337,__export__.product_template_11623_43c763ab,ค่าบริการขนส่งเก้าอี้,45.0,1300.0,
mig_po_PO2500097,__export__.res_partner_70695_26d2cf24,PO2500097,,THB,mig_po_line_PO2500097_336,__export__.product_template_11623_43c763ab,ผลิตเก้าอี้โรงพยาบาล  2 แห่ง 1.จังหวัดหาดใหญ่ (ม.อ.) จำนวน 10 ตัว2.จังหวัดบึงกาฬ จำนวน 35 ตัว,45.0,13700.0,
mig_po_PO2500325,__export__.res_partner_70422_15b96f6c,PO2500325,,THB,mig_po_line_PO2500325_299,__export__.product_template_11630_0f0038e2,2. ค่าขนส่งมาสคอต 1 ตัว,1.0,6000.0,
mig_po_PO2500325,__export__.res_partner_70422_15b96f6c,PO2500325,,THB,mig_po_line_PO2500325_300,__export__.product_template_11630_0f0038e2,"3.ค่าสตาฟใส่มาสคอต 1 คน และสตาฟดูแลมาสคอต 1 คน (วันที่ 10,11,12,17,18/5/68)",1.0,25000.0,
mig_po_PO2500325,__export__.res_partner_70422_15b96f6c,PO2500325,,THB,mig_po_line_PO2500325_298,__export__.product_template_11630_0f0038e2,ค่าดำเนินการมาสคอตโป๊ยเซียน (Fashion Island)1. ค่าทำความสะอาดมาสคอต 1 ตัว,1.0,2000.0,
mig_po_PO2500326,__export__.res_partner_70563_706afd69,PO2500326,,THB,mig_po_line_PO2500326_297,__export__.product_template_11630_0f0038e2,Douyin Social Media Management (April 2025 - March 2026),1.0,209880.0,
mig_po_PO2500327,__export__.res_partner_70563_706afd69,PO2500327,,THB,mig_po_line_PO2500327_296,__export__.product_template_11630_0f0038e2,Xiaohongshu Social Media Management (April 2025 - March 2026),1.0,44726.0,
mig_po_PO2500350,__export__.res_partner_70695_26d2cf24,PO2500350,,THB,mig_po_line_PO2500350_289,__export__.product_template_11623_43c763ab,กิจกรรมแจกกระปุกออมสิน ปั๊ม PT ค่าแรง Supervisor,1.0,2500.0,
mig_po_PO2500350,__export__.res_partner_70695_26d2cf24,PO2500350,,THB,mig_po_line_PO2500350_294,__export__.product_template_11623_43c763ab,ค่ารถ 4 ล้อ (เหมาทั้งวัน),1.0,6000.0,
mig_po_PO2500350,__export__.res_partner_70695_26d2cf24,PO2500350,,THB,mig_po_line_PO2500350_295,__export__.product_template_11623_43c763ab,ค่ารถตู้ สำหรับ รับ-ส่ง ทีมงาน,1.0,4500.0,
mig_po_PO2500350,__export__.res_partner_70695_26d2cf24,PO2500350,,THB,mig_po_line_PO2500350_291,__export__.product_template_11623_43c763ab,ค่าแรง MC,1.0,3000.0,
mig_po_PO2500350,__export__.res_partner_70695_26d2cf24,PO2500350,,THB,mig_po_line_PO2500350_292,__export__.product_template_11623_43c763ab,ค่าแรง Mascot,1.0,3000.0,
mig_po_PO2500350,__export__.res_partner_70695_26d2cf24,PO2500350,,THB,mig_po_line_PO2500350_290,__export__.product_template_11623_43c763ab,ค่าแรง Staff สำหรับแจกของ,2.0,1800.0,
mig_po_PO2500350,__export__.res_partner_70695_26d2cf24,PO2500350,,THB,mig_po_line_PO2500350_293,__export__.product_template_11623_43c763ab,ค่าแรง พี่เลี้ยง Mascot,1.0,1800.0,
mig_po_PO2500353,__export__.res_partner_70975_2f612f26,PO2500353,,THB,mig_po_line_PO2500353_288,__export__.product_template_11630_0f0038e2,โครงการ 88 ปี โป๊ยเซียน 8 ทิศ 8 ภาษา มหัศจรรย์แห่งการเดินทางจัดทำกิจกรรม : ทริปพาเที่ยวปลอดภัย และสื่อประชาสัมพันธ์สถานีวิทยุ จส.100 สื่อวิทยุ และสื่อออนไลน์Period : เมษายน 2568-มกราคม 2569 (10เดือน),1.0,1000000.0,
mig_po_PO2500376,__export__.res_partner_70660_58cd9b28,PO2500376,,THB,mig_po_line_PO2500376_286,__export__.product_template_11623_43c763ab,ค่าเช่าบริการอินเตอร์เน็ตไฟเบอร์ พร้อม Fixed IP รายเดือน- บริการอินเตอร์เน็ตความเร็วสูงสุด (ดาวน์โหลด/อัพโหลด) 500/500 Mbps- มี Ficed IP 1 IP Address- กรณีลูกค้าพบปัญหาการใช้งาน สามารถติดต่อ 1740 ได้ตลอด 24 ชม. หลังได้รับแจ้ง มีบริการแก้ปัญหาโดยทีมช่างผู้เชี่ยวชาญภายใน 12 ชม.  และ บริการซ่อมสายไฟเบอร์ ภายใน 24 ชม.- รับสิทธิ์ยืมอุปกรณ์ โดยผู้ใช้บริการต้องคืนอุปกรณ์เมื่อสิ้นสุดการใช้บริการ,13.0,2500.0,
mig_po_PO2500381,__export__.res_partner_71144_cb7e4600,PO2500381,2025-05-21,THB,mig_po_line_PO2500381_285,__export__.product_template_11676_fa0a61c1,Motor Condensing แบบมรปีกนกขนาด 1/4 HP,1.0,2500.0,2025-05-21
