PO Number,Vendor Ref,Vendor Name,Vendor ID (DB),Product Code,Product Name,Product Template ID (DB),Open Qty,Unit Price,Source Currency,Odoo Currency,Delivery Date
PO2600148,497,บริษัท คงธนา เซอร์วิส จำกัด,70435.0,900016,ถังบีบม็อบ ขนาด 36L,8117.0,2.0,1250.0,THB,THB,
PO2600145,163,บริษัท บิลเลี่ยน มิลเลี่ยน เทรดดิ้ง จำกัด,70592.0,900015,กระดาษม้วนชำระ (1หีบ12ม้วน),8116.0,15.0,750.0,THB,THB,
PO2600144,275,บริษัท ออฟฟิศเมท (ไทย) จำกัด,70761.0,900015,มีดคัทเตอร์ โอฟ่า  H-1รหัสสินค้า  2081310,8116.0,1.0,412.15,THB,THB,
PO2600144,275,บริษัท ออฟฟิศเมท (ไทย) จำกัด,70761.0,900015,ใบมีดคัทเตอร์ (หลอด 5 ใบ) โอฟ่า HB-5Bรหัสสินค้า 2091060,8116.0,2.0,172.9,THB,THB,
PO2600143,32,บริษัท ลินเด้ แมททีเรียล แฮนด์ลิ่ง (ประเทศไทย) จำกัด,70696.0,900022,LHT-150001  soild tire 15x4.5-8 EZ (black tyre),8167.0,2.0,3500.0,THB,THB,
PO2600143,32,บริษัท ลินเด้ แมททีเรียล แฮนด์ลิ่ง (ประเทศไทย) จำกัด,70696.0,900022,Service charge and Transportation,8167.0,1.0,2500.0,THB,THB,
PO2600139,496,บริษัท ดับเบิ้ล พริ้น อินเตอร์ จำกัด,70515.0,900017,ใบเสร็จรับเงินขนาด 19x27 ซม. เคมี 4 ชั้น พิมพ์ 1 สี รันนัมเบอร์ 2 ตำแหน่ง (ตามเอกสารแนบ)เข้าเล่มกาวหัว (กระดาษโอจิ) บรรจุ 50 ชุด/เล่ม,8358.0,205.0,160.0,THB,THB,
PO2600137,275,บริษัท ออฟฟิศเมท (ไทย) จำกัด,70761.0,900017,กระดาษสีถ่ายเอกสาร 8 A4 80 แกรม ชมพู (500 แผ่น) ONE,8358.0,1.0,266.36,THB,THB,
PO2600136,666,บริษัท บิทคอมไบน์ จำกัด,70591.0,900020,อะไหล่ bitVisitor SN : BP23061347 (PM),8164.0,1.0,4500.0,THB,THB,
PO2600136,666,บริษัท บิทคอมไบน์ จำกัด,70591.0,900020,หน้าจอสัมผัสเครื่อง 7 Inch (เปลี่ยนจอใหม่),8164.0,1.0,5000.0,THB,THB,
PO2600135,227,ห้างหุ้นส่วนจำกัด รุ่งโรจน์ เซอร์วิส เอ็นจิเนียริ่ง,71144.0,900023,ค่าบริการสัญญาเครื่องปรับอากาศออฟฟิศชั้นนอก/ออฟฟิศชั้นใน/คลังสินค้าโรงงานยา/โรงงานยาชั้น1/ตึก4ชั้น+ห้องช่าง/โรงงานชั้น2/ภายนอกอาคารวันที่ทำสัญญา 01/01/2026 อ้างอิงสัญญาเลขที่ RRS2026010,8114.0,1.0,92820.0,THB,THB,
PO2600135,227,ห้างหุ้นส่วนจำกัด รุ่งโรจน์ เซอร์วิส เอ็นจิเนียริ่ง,71144.0,900023,ค่าบริการสัญญาเครื่องปรับอากาศ-แผนกพลาสติก/ห้องพิมพ์/ห้องประกอบ/ห้องวิศวะวันที่ทำสัญญา 01/01/2026 อ้างอิงสัญญาเลขที่ RRS2026012,8114.0,1.0,51000.0,THB,THB,
PO2600135,227,ห้างหุ้นส่วนจำกัด รุ่งโรจน์ เซอร์วิส เอ็นจิเนียริ่ง,71144.0,900023,ค่าบริการสัญญาเครื่องปรับอากาศ-ห้องสุ่มตัวอย่างวัตถุดิบ/ห้องวัตถุดิบ/ห้อง LABวันที่ทำสัญญา 26/03/2026 อ้างอิงสัญญาเลขที่ RRS2024010,8114.0,1.0,21420.0,THB,THB,
PO2600134,615,บริษัท อุตสาหกรรม วินิลเทค จำกัด,70818.0,900023,ค่าแก้ไขแม่พิมพ์ Capseal 3 ccLot No. FA00326Mfg Date 180326Exp Date  180329,8114.0,1.0,2900.0,THB,THB,
PO2600132,216,บริษัท ยูเนี่ยน ฟอร์ม พริ้นติ้ง จำกัด,70680.0,900017,"ใบเสร็จรับเงิน/ใบส่งสินค้า ขนาด 9x11 นิ้ว 5 ชั้น- กระดาษเคมีโอจิ (ขาว,เหลือง,ชมพู,เขียว,ฟ้า)- พิมพ์ 2 สี , บรรจุกล่องละ 500 ชุด*** UFC-001469[6] ***",8358.0,40.0,1300.0,THB,THB,
PO2600131,763,บริษัท โตโยต้า ทูโช ฟอร์คลิฟท์ (ไทยแลนด์) จำกัด,71020.0,900023,SV_CONTRACT6SERVICE CONTRACT 6 TIMES/YEAR,8114.0,1.0,4000.0,THB,THB,
PO2600126,731,เมธา เจริญธนาวัฒน์,71184.0,900023,ผลิต - การ์ดเกม,8114.0,2000.0,5.6,THB,THB,2026-02-28
PO2600126,731,เมธา เจริญธนาวัฒน์,71184.0,900023,ผลิต - สไลด์แพ็ค,8114.0,5000.0,3.4,THB,THB,2026-02-28
PO2600117,831,บริษัท มณฑรัตน์ เทรดดิ้ง จำกัด,70660.0,900073,Tablet ขนาด 10.1 นิ้ว แบบใส่ซิมมือถือได้ ยี่ห้อ Zebra รุ่น ET45,8359.0,7.0,30000.0,THB,THB,
PO2600117,831,บริษัท มณฑรัตน์ เทรดดิ้ง จำกัด,70660.0,900073,สายชาร์จ USB C to USB A ขนาดความยาว 1 เมตร,8359.0,7.0,500.0,THB,THB,
PO2600117,831,บริษัท มณฑรัตน์ เทรดดิ้ง จำกัด,70660.0,900073,อแดปเตอร์ชาร์จ Tablet ยี่ห้อ Zebra,8359.0,7.0,1000.0,THB,THB,
PO2600117,831,บริษัท มณฑรัตน์ เทรดดิ้ง จำกัด,70660.0,900016,"เคสกันกระแทกสำหรับ Tablet (Rugged boot for 10""ET4X 10"" Tablet)",8117.0,7.0,4000.0,THB,THB,
PO2600117,831,บริษัท มณฑรัตน์ เทรดดิ้ง จำกัด,70660.0,900016,D-clips หูเกี่ยวสายคล้อง (คู่),8117.0,7.0,1100.0,THB,THB,
PO2600117,831,บริษัท มณฑรัตน์ เทรดดิ้ง จำกัด,70660.0,900016,Universal shoulder strap สายคล้องไหล่,8117.0,7.0,600.0,THB,THB,
PO2600117,831,บริษัท มณฑรัตน์ เทรดดิ้ง จำกัด,70660.0,900023,"บริการเสริม Zebra OneCare,Essential สำหรับ Zebra ET4010A",8114.0,7.0,9200.0,THB,THB,
PO2600115,32,บริษัท ลินเด้ แมททีเรียล แฮนด์ลิ่ง (ประเทศไทย) จำกัด,70696.0,900023,Preventive maintenanceModel : C11275L0415Serise : 1275*not inciude consumable,8114.0,6.0,3500.0,THB,THB,
PO2600113,831,บริษัท มณฑรัตน์ เทรดดิ้ง จำกัด,70660.0,900073,แท่นชาร์จ รองรับการชาร์จ Tablet สูงสุด 4 เครื่อง พร้อม อแดปเตอร์ สำหรับต่อแท่นชาร์จ และสายเชื่อมต่ออุปกรณ์,8359.0,2.0,34000.0,THB,THB,
PO2600112,366,บริษัท เอส.เอ็ม.เคมีคอล ซัพพลาย จำกัด,70935.0,900015,"100983.2500Ethanol, absolute for analysis EMSURE®ACS,ISO, Reag.Ph Eur, 2.5L",8116.0,4.0,950.0,THB,THB,
PO2600112,366,บริษัท เอส.เอ็ม.เคมีคอล ซัพพลาย จำกัด,70935.0,900015,"104391.4000n-Hexane for liquid chromatography LiChrosolv®, 4L",8116.0,2.0,3200.0,THB,THB,
PO2600112,366,บริษัท เอส.เอ็ม.เคมีคอล ซัพพลาย จำกัด,70935.0,900015,"PM-996Parafilm M 4""x 125 Ft. USA",8116.0,1.0,950.0,THB,THB,
PO2600112,366,บริษัท เอส.เอ็ม.เคมีคอล ซัพพลาย จำกัด,70935.0,900015,C000060213mm Nylon Syringe Filter 0.22um with Outer Ring. 100PCs/PK,8116.0,1.0,560.0,THB,THB,
PO2600111,731,เมธา เจริญธนาวัฒน์,71184.0,900023,ค่าบริการ - ขึ้นบล็อค 1 ครั้งต่อ 1 แบบ(งานพิเศษฝ่ายขาย),8114.0,1.0,15000.0,THB,THB,
PO2600110,66,ห้างหุ้นส่วนจำกัด กฤตพล เอ็นจิเนียริ่ง,71122.0,900015,ฟิล์มยืด 17 ไมครอน,8116.0,120.0,110.0,THB,THB,2026-02-28
PO2600108,235,บริษัท วัฒนาฟุตแวร์ จำกัด,70704.0,900015,Buddy Shoes รุ่น AS-213 สีขาวเบอร์ 35,8116.0,10.0,158.0,THB,THB,
PO2600108,235,บริษัท วัฒนาฟุตแวร์ จำกัด,70704.0,900015,Buddy Shoes รุ่น AS-213 สีขาวเบอร์ 36,8116.0,5.0,158.0,THB,THB,
PO2600108,235,บริษัท วัฒนาฟุตแวร์ จำกัด,70704.0,900015,Buddy Shoes รุ่น AS-213 สีขาวเบอร์ 37,8116.0,10.0,158.0,THB,THB,
PO2600108,235,บริษัท วัฒนาฟุตแวร์ จำกัด,70704.0,900015,Buddy Shoes รุ่น AS-213 สีขาวเบอร์ 38,8116.0,5.0,158.0,THB,THB,
PO2600108,235,บริษัท วัฒนาฟุตแวร์ จำกัด,70704.0,900015,Buddy Shoes รุ่น AS-213 สีขาวเบอร์ 40,8116.0,5.0,158.0,THB,THB,
PO2600108,235,บริษัท วัฒนาฟุตแวร์ จำกัด,70704.0,900015,Buddy Shoes รุ่น AS-213 สีขาวเบอร์ 41,8116.0,3.0,158.0,THB,THB,
PO2600108,235,บริษัท วัฒนาฟุตแวร์ จำกัด,70704.0,900015,Buddy Shoes รุ่น AS-213 สีขาวเบอร์ 42,8116.0,3.0,158.0,THB,THB,
PO2600108,235,บริษัท วัฒนาฟุตแวร์ จำกัด,70704.0,900015,Buddy Shoes รุ่น AS-113 สีกรม เบอร์ 38,8116.0,5.0,158.0,THB,THB,
PO2600108,235,บริษัท วัฒนาฟุตแวร์ จำกัด,70704.0,900015,Buddy Shoes รุ่น AS-113 สีกรม เบอร์ 39,8116.0,10.0,158.0,THB,THB,
PO2600108,235,บริษัท วัฒนาฟุตแวร์ จำกัด,70704.0,900015,Buddy Shoes รุ่น AS-113 สีกรม เบอร์ 41,8116.0,2.0,158.0,THB,THB,
PO2600108,235,บริษัท วัฒนาฟุตแวร์ จำกัด,70704.0,900015,Buddy Shoes รุ่น AS-113 สีกรม เบอร์ 43,8116.0,1.0,158.0,THB,THB,
PO2600108,235,บริษัท วัฒนาฟุตแวร์ จำกัด,70704.0,900015,Buddy Shoes รุ่น AS-113 สีดำเบอร์ 36,8116.0,2.0,158.0,THB,THB,
PO2600108,235,บริษัท วัฒนาฟุตแวร์ จำกัด,70704.0,900015,Buddy Shoes รุ่น AS-113 สีดำเบอร์ 37,8116.0,5.0,158.0,THB,THB,
PO2600108,235,บริษัท วัฒนาฟุตแวร์ จำกัด,70704.0,900015,Buddy Shoes รุ่น AS-113 สีดำเบอร์ 38,8116.0,2.0,158.0,THB,THB,
PO2600108,235,บริษัท วัฒนาฟุตแวร์ จำกัด,70704.0,900015,Buddy Shoes รุ่น AS-113 สีดำเบอร์ 40,8116.0,2.0,158.0,THB,THB,
PO2600104,656,บริษัท รูท มีเดีย จำกัด,70695.0,900023,1.ราคาค่าผลิต + ค่าขนส่ง เก้าอี้โรงพยาบาลอ่างทอง จ.อ่างทอง (จำนวน 100 ตัว) (แบบ Indoor)วัสดุ : ขึ้นรูปโครงสร้างโดยเหล็กกล่อง ขนาด 2 x 1 นิ้ว หนา 1.2 มิลลิเมตร- ฐานที่นั่งเป็นคอมโพสิต ขนาด 40 x 120 ซม. หนา 4 มิลลิเมตร- พนักพิงเป็นคอมโพสิต ขนาด 35 x 120 ซม. / หนา 3 มิลลิเมตร / เอียง 15 องศา- พนักพิงติดสติ๊กเกอร์ inkjet เคลือบด้าน ชนิด Outdoor ความละเอียด 1440 Dpi.- พ่นสีกันสนิม และพ่นสีอุตสาหกรรม ชนิด Outdoor สีเขียว- ใส่น็อตปรับระดับระยะเวลาการผลิต : 30 วันขนาด : กว้าง 120 cm. x สูง 80 cm. x ลึก 40 cm.หมายเหตุ : ราคาดังกล่าวจัดส่งเก้าอี้ จังหวัดละ 1 จุด เท่านั้น (ตัวอำเภอเมือง)                : ราคาดังกล่าวรวมค่าขนส่ง / ค่าแรงทีมงาน / ค่าน้ำมัน / เรียบร้อยแล้ว,8114.0,100.0,3900.0,THB,THB,
PO2600102,807,บริษัท ดิจิตอล เน็กซ์ โซลูชั่นส์ จำกัด,70517.0,900023,Online Media Communlc ationStrategy & Creative Idea+ Strategy Idea for campaign+ Creative Idea for campaign,8114.0,1.0,140000.0,THB,THB,
PO2600102,807,บริษัท ดิจิตอล เน็กซ์ โซลูชั่นส์ จำกัด,70517.0,900023,Creative Content Production+ Hinl : Single Photo+ Open Collection : Animate+ 3 Lookbook Content : Animate- The Elite Style- FAB Style- Fun Style+ 4 Activity Content : Single Photo- Run Fresh Flow- Fresh Celebrate- Fresh Up Feel Alive- สไลด์สดชื่น สบายทั่วไทย+ 1 Activety Content : Short VDO- โป๊ยเซียนมหาสงกรานต์+ 4 Winner Announce Content : Single Photo- Run Fresh Flow- Fresh Celebrate- สไลด์สดชื่น สบายทั่วไทย- Fresh Up Feel Alive,8114.0,1.0,120000.0,THB,THB,
PO2600102,807,บริษัท ดิจิตอล เน็กซ์ โซลูชั่นส์ จำกัด,70517.0,900023,Songkran Content+ Songkran Activity 1 Content,8114.0,1.0,40000.0,THB,THB,
PO2600102,807,บริษัท ดิจิตอล เน็กซ์ โซลูชั่นส์ จำกัด,70517.0,900023,Branded Content Ads.+ Facebook+ Tiktok,8114.0,1.0,80000.0,THB,THB,
PO2600102,807,บริษัท ดิจิตอล เน็กซ์ โซลูชั่นส์ จำกัด,70517.0,900023,KOL Content and Ads.+ Macro 3 KOLs (GQ x poysian act),8114.0,1.0,360000.0,THB,THB,
PO2600102,807,บริษัท ดิจิตอล เน็กซ์ โซลูชั่นส์ จำกัด,70517.0,900023,+ Micro 18 KOLs + 4 ภาค : GQ x poysian Act : 12 Content + สงกรานต์ : 6 Content,8114.0,1.0,270000.0,THB,THB,
PO2600102,807,บริษัท ดิจิตอล เน็กซ์ โซลูชั่นส์ จำกัด,70517.0,900023,Ads. On Tiktok,8114.0,1.0,70000.0,THB,THB,
PO2600102,807,บริษัท ดิจิตอล เน็กซ์ โซลูชั่นส์ จำกัด,70517.0,900023,GRAND TOTAL (Inc. fees 10%),8114.0,1.0,108000.0,THB,THB,
PO2600101,940,บริษัท สไวป์ไวบส์ จำกัด,270764.0,900015,ค่าชุดนักเรียน (เสื้อ และ กางเกง) คุณต้นคูณ สำหรับถ่ายคอนเทนต์ วันที่ 4 กุมภาพันธ์ 2569,8116.0,1.0,762.89,THB,THB,
PO2600097,210,บริษัท มาย การพิมพ์ จำกัด,70666.0,900017,"แบบฟอร์ม""ใบเบิกเงินสดย่อย""บริษัท โกลด์ มิ้นท์ โปรดักส์ จำกัด",8358.0,200.0,17.0,THB,THB,
PO2600091,608,บริษัท เค.ที. ซัพพอร์ท แอนด์ เปเปอร์ จำกัด,70827.0,900023,ค่าบริการจัดทำเงินเดือน ประจำปี 2569มกราคม - ธันวาคม 2569,8114.0,11.0,8000.0,THB,THB,
PO2600091,608,บริษัท เค.ที. ซัพพอร์ท แอนด์ เปเปอร์ จำกัด,70827.0,900023,ค่าบริการพิมพ์สลิปเงินเดือนพนักงานรายวัน,8114.0,11.0,2000.0,THB,THB,
PO2600070,859,บริษัท ซินเทค กรุ๊ป จำกัด,70485.0,900001,ค่าบริการสอบเทียบTV System Melting Point MP80Serial Number : B901042038Full Preventive Maintenance OnSite EABrand : Mettler Toledo,8630.0,1.0,21000.0,THB,THB,
