Product ID,Product,Routes
8768,[00763] 001,"Auto Transfer RM (Pharma), Buy"
8766,[00761] 002,"Auto Transfer RM (Pharma), Buy"
8669,10% on เงินมัดจำจ่ายล่วงหน้า,Buy
9024,9000079,Buy
9030,[900019] 900019,Buy
9025,900079,Buy
9023,900079,Buy
9026,90046,Buy
8703,Building Improvement,Buy
7963,[MK-CLD-XX-00001] Calendar,Buy
8670,Calibration ,Buy
7967,"[FG-MTK-IL-01001] Classification No.: 90.18 Dragon Inhaler Mark II with keyholder
(Nasal Inhaler 24 Units in display+shrink)","Manufacture (Pharma), Replenish on Order (MTO)"
8671,Computer,Buy
8723,Employee Advance,Buy
5556,Free Product - กระปุกออมสิน Mark II,Buy
15,Gift Card,Buy
8690,Injection Machine,Buy
7971,"[FG-MTS-TW-01001] Mark II Aroma Oil Stick (Taiwan) (1*1)
( Each carton contains 2,000 sticks )","Manufacture (Pharma), Replenish on Order (MTO)"
7972,"[FG-MTS-GH-01001] Mark II Inhaler (Ghana) 10*6 (5 dz)
( Each carton contains 20 units )","Manufacture (Pharma), Replenish on Order (MTO)"
7965,"[FG-MTS-XX-01001] Mark II Inhaler 10*6 (5 dz)
( Each carton contains 20 units )","Manufacture (Pharma), Replenish on Order (MTO)"
7970,"[FG-MTS-JP-01001] Mark II Nose Mint Inhaler (1*1) (Blue)
( Each carton contains 2,000 sticks )","Manufacture (Pharma), Replenish on Order (MTO)"
8771,Opening Balance,Buy
8197,[RM-PET-RO-00001] PETแบบม้วน  380x0.25mm  สีใส,"Auto Transfer RM (Packaging), Buy"
8004,[PK-SHF-PS-01007] PVC หด Israel 2 โหล 175x210,"Auto Transfer RM (Packaging), Replenish on Order (MTO), Buy"
8005,[PK-SHF-PS-01006] PVC หด PS 2 โหล 160x340,"Auto Transfer RM (Packaging), Buy"
7997,"[RM-PVC-RO-01001] PVCแบบม้วน ขนาด 15""x0.25mm
","Auto Transfer RM (Plastic), Buy"
7998,"[RM-PVC-RO-01002] PVCแบบม้วน ขนาด 18""x0.20mm","Auto Transfer RM (Plastic), Buy"
7999,"[RM-PVC-RO-01003] PVCแบบม้วน ขนาด 18""x0.40mm
","Auto Transfer RM (Plastic), Buy"
8000,"[RM-PVC-RO-01004] PVCแบบม้วน ขนาด 27""x0.20mm
","Auto Transfer RM (Plastic), Buy"
8001,[RM-PVC-RO-01006] PVCแบบม้วน ขนาด 385x0.20mm,"Auto Transfer RM (Plastic), Buy"
8002,[RM-PVC-RO-01005] PVCแบบม้วน ขนาด 600x0.20mm,"Auto Transfer RM (Plastic), Buy"
8237,"[FG-PAK-XX-01001] Pax 2 Ways Inhaler with keyholder blue 10*6 (5dz)
( Each carton contains 20 units )","Manufacture (Pharma), Replenish on Order (MTO)"
8235,"[FG-PAS-XX-01001] Pax 2 Ways Inhaler without keyholder blue 10*6 (5dz)
( Each carton contains 20 units )","Manufacture (Pharma), Replenish on Order (MTO)"
8208,[FG-PPK-TH-01002] Pepex 2in1 with keyholder (1*1)( Each carton contains 216 units ),Manufacture (Pharma)
8211,"[FG-PPR-TH-01002] Pepex One Way Inhaler 10*6 (5dz)
( Each carton contains 12 units )",Manufacture (Pharma)
8034,[FG-PSS-PB-01002] Piggy Bank - Mark II,Manufacture (Plastic)
8035,[FG-PSS-PB-01001] Piggy Bank - Poysian,Manufacture (Plastic)
7982,"[FG-PNF-XX-01001] Pim Saen Balm Oil (3cc Bottle) English Label 12*1
(Each carton contains 72 dozen)","Manufacture (Pharma), Replenish on Order (MTO)"
7974,"[FG-PNF-ID-01001] Pim Saen Balm Oil (3cc Bottle) Indonesia Label 12*1
(Each carton contains 72 dozen)","Manufacture (Pharma), Replenish on Order (MTO)"
7973,"[FG-PNF-TH-01001] Pim Saen Balm Oil (3cc Bottle) Thai Label 12*1
(Each carton contains 72 dozen)",Manufacture (Pharma)
7981,"[FG-PNR-XX-01001] Pim Saen Balm Oil (5cc Roll On) English Label 12*1
(Each carton contains 80 dozen)","Manufacture (Pharma), Replenish on Order (MTO)"
7990,"[FG-PNR-ID-01001] Pim Saen Balm Oil (5cc Roll On) Indonesia Label 12*1
(Each carton contains 80 dozen)","Manufacture (Pharma), Replenish on Order (MTO)"
7991,"[FG-PNR-MM-01001] Pim Saen Balm Oil (5cc Roll On) Myanmar Label 12*1
(Each carton contains 80 dozen)","Manufacture (Pharma), Replenish on Order (MTO)"
7994,"[FG-PNR-TW-01001] Pim Saen Balm Oil (5cc Roll On) Taiwan Label 24*1
(Each carton contains 100 dozen)","Manufacture (Pharma), Replenish on Order (MTO)"
7989,"[FG-PNR-TH-01001] Pim Saen Balm Oil (5cc Roll On) Thai Label 12*1
(Each carton contains 80 dozen)",Manufacture (Pharma)
7976,"[FG-PNC-XX-01001] Pim Saen Balm Oil (8cc Cotton) English Label 12*1
(Each carton contains 120 dozen)","Manufacture (Pharma), Replenish on Order (MTO)"
7987,"[FG-PNC-ID-01001] Pim Saen Balm Oil (8cc Cotton) Indonesia Label 12*1
(Each carton contains 120 dozen)","Manufacture (Pharma), Replenish on Order (MTO)"
7978,"[FG-PNC-MM-01001] Pim Saen Balm Oil (8cc Cotton) Myanmar Label 12*1 
(Each carton contains 120 dozen)","Manufacture (Pharma), Replenish on Order (MTO)"
7983,"[FG-PNC-TH-01002] Pim Saen Balm Oil (8cc Cotton) Thai Label 12*1
(Each carton contains 120 dozen)",Manufacture (Pharma)
8015,[MK-SHR-PS-02003] Polo Shirt,Buy
8229,"[FG-PSS-DE-01001] Poy-Sian Aroma Oil Stick (Germany) 10*6 (5dz)
( Each carton contains 20 units ) ","Manufacture (Pharma), Replenish on Order (MTO)"
8226,[FG-PSS-MY-01001] Poy-Sian Brand Mark II Inhaler  (Malaysia) 10*6 (5dz) MAL 20106012X ( Each carton contains 20 units ) ,"Manufacture (Pharma), Replenish on Order (MTO)"
8227,"[FG-PSS-MM-01001] Poy-Sian Brand Mark II Inhaler  (Myanmar) 10*6 (5dz)
( Each carton contains 20 units ) ","Manufacture (Pharma), Replenish on Order (MTO)"
8204,"[FG-PSS-XX-01001] Poy-Sian Brand Mark II Inhaler  (Thai Label) (Laos) 10*6 (5dz)
( Each carton contains 20 units ) ","Manufacture (Pharma), Replenish on Order (MTO)"
8224,"[FG-PSS-TH-01005] Poy-Sian Brand Mark II Inhaler  (Thai Label) 10*6 (5dz)
( Each carton contains 16 units )","Manufacture (Pharma), Replenish on Order (MTO)"
8215,[FG-PSS-TH-01002] Poy-Sian Brand Mark II Inhaler  (Thai Label) 10*6 (5dz)( Each carton contains 20 units ),"Manufacture (Pharma), Replenish on Order (MTO)"
8205,"[FG-PSK-TH-01002] Poy-Sian Inhaler with keyholder (Nigeria) 10*6 (5dz)
( Each carton contains 14 units ) ",Manufacture (Pharma)
2,Service on Timesheets,Buy
8232,[PK-SHF-PS-01003] ShrinkFilm ยาดม PS-PePex  5โหล 360x700x19,"Auto Transfer RM (Packaging), Buy"
8231,[PK-SHF-PS-01001] ShrinkFilm ยาดม PS-PePex 5โหล,"Auto Transfer RM (Packaging), Buy"
7996,[PK-SHF-PS-01002] ShrinkFilm ยาดม PePex2IN1 พวงกุญแจ 6หลอด,"Auto Transfer RM (Packaging), Buy"
11,Standard delivery,Buy
8013,[MK-STD-PN-00002] Standโชว์ Lotus,Buy
8014,[MK-STD-PN-00001] Standโชว์พิมเสนรุ่นฝาปิด,Buy
9040,TMP Backorder Product/20260423020047916103,Buy
9041,TMP Backorder Product/20260423020139465131,Buy
8724,Toilet Paper,Buy
14,Top-up eWallet,Buy
9027,test,Buy
8760,[00065] ก PAX 2way-Key ตัวบน,Buy
8020,[SM-PNC-PB-02001] กระปุกพิมเสนน้ำ 4 โหล กึ่งสำเร็จ,"Auto Transfer Semi (Pharma), Manufacture (Plastic)"
8312,[SM-PNC-PB-01001] กระปุกพิมเสนน้ำ 4 โหล สำเร็จ,"Auto Transfer Semi (Pharma), Manufacture (Plastic)"
8571,[FG-PSS-PB-03001] กระปุกออมสิน,Manufacture (Plastic)
8021,[SM-PLS-PB-00001] กระปุกออมสิน PS,"Auto Transfer Semi (Pharma), Manufacture (Plastic)"
8570,[FG-PSS-PB-02001] กระปุกออมสิน ฉลาก PS,Manufacture (Plastic)
8831,กระปุกออมสินโป๊ยเซียน(1x1),Buy
8075,[PK-BOX-PS-07001] กล่องขาวลายไทย 5x9x2.5,"Auto Transfer RM (Packaging), Buy"
8064,[PK-BOX-PN-03003] กล่องพิมเสน 2โหล,"Auto Transfer RM (Packaging), Buy"
8037,[PK-BOX-PN-02002] กล่องพิมเสน RollOn 12ขวด,"Auto Transfer RM (Packaging), Buy"
8062,[PK-BOX-PN-02004] กล่องพิมเสน RollOn 12ขวด อินโดนีเซีย,"Auto Transfer RM (Packaging), Replenish on Order (MTO), Buy"
8039,[PK-BOX-PN-02003] กล่องพิมเสน RollOn 2โหล,"Auto Transfer RM (Packaging), Buy"
8052,[PK-BOX-PN-02001] กล่องพิมเสน RollOn 6ขวด,"Auto Transfer RM (Packaging), Buy"
8044,[PK-BOX-PS-02003] กล่องยาดม 24หลอด อิสราเอล,"Auto Transfer RM (Packaging), Replenish on Order (MTO), Buy"
8220,[PK-BOX-PS-01004] กล่องยาดม PS 5โหล จีน,"Auto Transfer RM (Packaging), Buy"
8051,[PK-BOX-PS-01003] กล่องยาดม PS 5โหล มาเลเซีย,"Auto Transfer RM (Packaging), Buy"
8054,[PK-BOX-PS-01005] กล่องยาดม PS 5โหล เยอรมัน,"Auto Transfer RM (Packaging), Replenish on Order (MTO), Buy"
8049,[PK-BOX-PS-06001] กล่องยาดม PS Key 5โหล,"Auto Transfer RM (Packaging), Buy"
8070,[PK-BOX-PS-02002] กล่องยาดม PS MarkII 3สูตร 5โหล,"Auto Transfer RM (Packaging), Buy"
8069,[PK-BOX-PS-02001] กล่องยาดม PS MarkII 3สูตร 5โหล (ThailandBest),"Auto Transfer RM (Packaging), Replenish on Order (MTO), Buy"
8065,[PK-BOX-PS-01001] กล่องยาดม PS สามัญ 2 โหล,"Auto Transfer RM (Packaging), Manufacture (Pharma), Buy"
8071,[PK-BOX-PS-01002] กล่องยาดม PS สามัญ กล่อง 5โหล,"Auto Transfer RM (Packaging), Buy"
8068,[PK-BOX-PS-05001] กล่องยาดม Pax2way หัวมน 5โหล,"Auto Transfer RM (Packaging), Buy"
8048,[PK-BOX-PS-03001] กล่องยาดม PePex 5โหล,"Auto Transfer RM (Packaging), Buy"
8077,[PK-BOX-PS-04002] กล่องยาดม PePex2IN1 พวงกุญแจ,"Auto Transfer RM (Packaging), Buy"
8762,[00530] การบูร (กล่อง) Camphor,"Auto Transfer RM (Pharma), Buy"
8083,[RM-FIL-PS-01002] ก้นกรอง,"Auto Transfer RM (Packaging), Buy"
8572,[RM-FIL-PS-01003] ก้นกรองกระปุก,"Auto Transfer RM (Pharma), Auto Transfer Semi (Pharma), Manufacture (Plastic), Buy"
8704,ก้นกรองชุบน้ำยา,Buy
8575,[RM-FIL-PS-01006] ก้นกรองชุบน้ำยา MarkII,"Auto Transfer RM (Packaging), Buy, Replenish on Order (MTO)"
8747,[RM-FIL-PS-01007] ก้นกรองชุบน้ำยา PAX,Buy
8573,[RM-FIL-PS-01004] ก้นกรองชุบน้ำยา PS,"Auto Transfer RM (Packaging), Auto Transfer Semi (Pharma), Manufacture (Pharma), Buy"
8574,[RM-FIL-PS-01005] ก้นกรองชุบน้ำยา Pepex,"Auto Transfer RM (Packaging), Manufacture (Pharma), Buy"
8084,[RM-FIL-PS-01001] ก้นกรองมัดสำเร็จ,"Auto Transfer RM (Pharma), Buy, Replenish on Order (MTO)"
8086,[PK-BOT-RD-01001] ขวด-ลูกกลิ้ง-ฝาทอง 5cc,"Auto Transfer RM (Packaging), Buy"
8019,[SM-PNC-BT-03001] ขวดพิมเสนน้ำสำลี กึ่งสำเร็จ,"Auto Transfer Semi (Pharma), Manufacture (Plastic), Replenish on Order (MTO)"
8311,[SM-PNC-BT-02001] ขวดพิมเสนน้ำสำลี สำเร็จ,"Auto Transfer Semi (Pharma), Manufacture (Plastic)"
8569,[SM-PNC-BT-04003] ขวดพิมเสนน้ำสำลี สำเร็จ ตปท,"Auto Transfer Semi (Pharma), Manufacture (Plastic), Replenish on Order (MTO)"
8568,[SM-PNC-BT-04002] ขวดพิมเสนน้ำสำลี สำเร็จ พม่า,"Auto Transfer Semi (Pharma), Manufacture (Plastic), Replenish on Order (MTO)"
8567,[SM-PNC-BT-04001] ขวดพิมเสนน้ำสำลี สำเร็จ อินโดนีเซีย,"Auto Transfer Semi (Pharma), Manufacture (Plastic), Replenish on Order (MTO)"
8085,[PK-BOT-RD-02001] ขวดแก้ว Balm 20cc,"Auto Transfer RM (Packaging), Buy"
