ID,Product,Category,When product arrives in,Store to,Company
15,,All / FG / ยาดมตราโป๊ยเซียน,GMP/Stock,GMP/Stock/คลังลอย,"GOLD MINTS PRODUCTS CO., LTD."
1,,All / RM / พลาสติก,GMP/Stock,GMP/Stock/RM/PL01,"GOLD MINTS PRODUCTS CO., LTD."
13,,All / RM / สารเคมี,GMP/Stock,GMP/Stock/RM/สารเคมี,"GOLD MINTS PRODUCTS CO., LTD."
10,,All / RM / บรรจุภัณฑ์,GMP/Stock,GMP/Stock/RM/PL04,"GOLD MINTS PRODUCTS CO., LTD."
12,,All / RM / พลาสติก,GMP/Stock/คลังลอย,GMP/Stock/คลังลอย/RM/พลาสติก,"GOLD MINTS PRODUCTS CO., LTD."
2,,All / RM / สารเคมี,GMP/Stock/คลังลอย,GMP/Stock/คลังลอย/RM/โรงงานยา,"GOLD MINTS PRODUCTS CO., LTD."
14,,All / RM / บรรจุภัณฑ์,GMP/Stock/คลังลอย,GMP/Stock/คลังลอย/RM/โรงงานยา,"GOLD MINTS PRODUCTS CO., LTD."
3,,All / RM / พลาสติก,GMP/Pre-Production,GMP/Pre-Production/พลาสติก,"GOLD MINTS PRODUCTS CO., LTD."
4,,All / RM / สารเคมี,GMP/Pre-Production,GMP/Pre-Production/โรงงานยา,"GOLD MINTS PRODUCTS CO., LTD."
11,,All / RM / บรรจุภัณฑ์,GMP/Pre-Production,GMP/Pre-Production/โรงงานยา,"GOLD MINTS PRODUCTS CO., LTD."
5,,All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,GMP/Stock,GMP/Stock/Semi/พลาสติก,"GOLD MINTS PRODUCTS CO., LTD."
6,,All / SFG / พลาสติก / ชิ้นส่วนหลอด (ประกอบ),GMP/Stock,GMP/Stock/คลังลอย,"GOLD MINTS PRODUCTS CO., LTD."
7,,All / SFG / พลาสติก / ชิ้นส่วนหลอด,GMP/Stock,GMP/Stock/คลังลอย,"GOLD MINTS PRODUCTS CO., LTD."
8,,All / SFG / พลาสติก,GMP/Stock,GMP/Stock/คลังลอย,"GOLD MINTS PRODUCTS CO., LTD."
9,,All / SFG / น้ำยา,GMP/Stock,GMP/Stock/Semi/โรงงานยา,"GOLD MINTS PRODUCTS CO., LTD."
