id,code,name,wht_rate
wht_revenue_type_avt,AVT,ค่าโฆษณา,2
wht_revenue_type_com,COM,ค่านายหน้า,3
wht_revenue_type_con,CON,ค่าที่ปรึกษา,3
wht_revenue_type_div,DIV,เงินปันผล,10
wht_revenue_type_gif,GIF,รางวัล,5
wht_revenue_type_hiw,HIW,ค่าจ้างทำของ,3
wht_revenue_type_ins,INS,ค่าเบี้ยประกันภัย,1
wht_revenue_type_mtn,MTN,ค่าบำรุงรักษา,3
wht_revenue_type_prf,PRF,ค่าธรรมเนียมวิชาชีพ,3
wht_revenue_type_pro,PRO,ค่าส่งเสริมการขาย,3
wht_revenue_type_ren,REN,ค่าเช่า,5
wht_revenue_type_sem,SEM,ค่าอบรมสัมนา,3
wht_revenue_type_ser,SER,ค่าบริการ,3
wht_revenue_type_trn,TRN,ค่าขนส่ง,1
