parent_code,product_id,product_tmpl_id,product_name,status,active_bom_count,all_bom_count,bom_detail
SO-PSS-UP-01001,8184,8184,น้ำยา PS Inhaler,BOM_EXISTS,1,1,BOM 2970 | code= | template | type=normal | qty=1.00 | lines=4 | operations=0 | active=true
SO-PSS-LO-01001,8185,8185,น้ำยา PS Solution,BOM_EXISTS,1,1,BOM 2971 | code= | template | type=normal | qty=1.00 | lines=4 | operations=0 | active=true
FG-PSS-TH-01001,8223,8223,ยาดมโป๊ยเซียน (1x6) แผง,BOM_EXISTS,1,1,BOM 2980 | code= | template | type=normal | qty=200.000000 | lines=3 | operations=1 | active=true
FG-PSS-TH-01002,8215,8215,Poy-Sian Brand Mark II Inhaler  (Thai Label) 10*6 (5dz)( Each carton contains 20 units ),BOM_EXISTS,1,1,BOM 2981 | code=BOM-024 | template | type=normal | qty=1.00 | lines=3 | operations=1 | active=true
FG-PSS-TH-01003,8216,8216,ยาดมโป๊ยเซียน (2x6) 70โหล ลังยาว,BOM_EXISTS,1,1,BOM 2991 | code= | template | type=normal | qty=1.00 | lines=3 | operations=1 | active=true
FG-PSS-TH-01004,8217,8217,ยาดมโป๊ยเซียน (4x6) 100โหล 7-11,BOM_EXISTS,1,1,BOM 2989 | code=BOM-028 | template | type=normal | qty=1.00 | lines=3 | operations=1 | active=true
FG-PSS-TH-01005,8224,8224,"Poy-Sian Brand Mark II Inhaler  (Thai Label) 10*6 (5dz)
( Each carton contains 16 units )",BOM_EXISTS,1,1,BOM 2982 | code= | template | type=normal | qty=1.00 | lines=3 | operations=1 | active=true
FG-PSS-TH-01006,8230,8230,ยาดมโป๊ยเซียน (4x6) 100โหล KP,BOM_EXISTS,1,1,BOM 2990 | code= | template | type=normal | qty=1.00 | lines=3 | operations=1 | active=true
FG-PSS-TH-01006,8379,8379,ยาดมโป๊ยเซียน (1*1) หลอดเดี่ยว,BOM_EXISTS,1,1,BOM 4066 | code= | template | type=normal | qty=6.000000 | lines=1 | operations=0 | active=true
FG-PSS-TH-01007,8214,8214,ยาดมโป๊ยเซียน (10x6) 50+20โหล,BOM_EXISTS,1,1,BOM 2983 | code=BOM-025 | template | type=normal | qty=1.00 | lines=3 | operations=1 | active=true
