product_variant_id,product_template_id,default_code,product_name,category,route_id,route_name
7967,7967,FG-MTK-IL-01001,"{""en_US"": ""Classification No.: 90.18 Dragon Inhaler Mark II with keyholder\n(Nasal Inhaler 24 Units in display+shrink)"", ""th_TH"": ""ยาดม Mark II Key(1x1) หลอดเดี่ยว อิสราเอล""}",All / FG / ยาดม MARK II,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8507,8507,FG-MTK-IL-02001,"{""en_US"": ""ยาดม Mark II อิสราเอล 1 กล่อง""}",All / FG / ยาดม MARK II,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8508,8508,FG-MTK-IL-03001,"{""en_US"": ""ยาดม Mark II อิสราเอล + พวงกุญแจ""}",All / FG / ยาดม MARK II,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8509,8509,FG-MTK-IL-04001,"{""en_US"": ""ยาดม Mark II อิสราเอล""}",All / FG / ยาดม MARK II,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
7972,7972,FG-MTS-GH-01001,"{""en_US"": ""Mark II Inhaler (Ghana) 10*6 (5 dz)\n( Each carton contains 20 units )"", ""th_TH"": ""ยาดม Mark II (10x6) 5โหล กาน่า""}",All / FG / ยาดม MARK II,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8525,8525,FG-MTS-GH-02001,"{""en_US"": ""ยาดม Mark II กล่อง 5 โหล กาน่า(หุ้ม)""}",All / FG / ยาดม MARK II,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8526,8526,FG-MTS-GH-03001,"{""en_US"": ""ยาดม Mark II แผง กาน่า""}",All / FG / ยาดม MARK II,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
7970,7970,FG-MTS-JP-01001,"{""en_US"": ""Mark II Nose Mint Inhaler (1*1) (Blue)\n( Each carton contains 2,000 sticks )"", ""th_TH"": ""ยาดม Mark II (1x1) หลอดเดี่ยว ญี่ปุ่น""}",All / FG / ยาดม MARK II,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8518,8518,FG-MTS-JP-02001,"{""en_US"": ""ยาดม Mark II ญี่ปุ่น""}",All / FG / ยาดม MARK II,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
7971,7971,FG-MTS-TW-01001,"{""en_US"": ""Mark II Aroma Oil Stick (Taiwan) (1*1)\n( Each carton contains 2,000 sticks )"", ""th_TH"": ""ยาดม Mark II (1x1) หลอดเดี่ยว ไต้หวัน""}",All / FG / ยาดม MARK II,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8519,8519,FG-MTS-TW-02001,"{""en_US"": ""ยาดม Mark II ไต้หวัน สีชมพูสะท้อนแสง""}",All / FG / ยาดม MARK II,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8520,8520,FG-MTS-TW-02002,"{""en_US"": ""ยาดม Mark II ไต้หวัน สีม่วง""}",All / FG / ยาดม MARK II,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
