default_code,product_id,template_id,product_name,route_id,route_name
FG-PSS-TH-01001,8223,8223,ยาดมโป๊ยเซียน (1x6) แผง,1,"{""en_US"": ""Replenish on Order (MTO)"", ""th_TH"": ""เติมสินค้าตามคำสั่งขาย (MTO)""}"
FG-PSS-TH-01001,8223,8223,ยาดมโป๊ยเซียน (1x6) แผง,53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
FG-PSS-TH-01001,8223,8223,ยาดมโป๊ยเซียน (1x6) แผง,62,"{""en_US"": ""Manufacture (Pharma)""}"
FG-PSS-TH-01002,8215,8215,Poy-Sian Brand Mark II Inhaler  (Thai Label) 10*6 (5dz)( Each carton contains 20 units ),1,"{""en_US"": ""Replenish on Order (MTO)"", ""th_TH"": ""เติมสินค้าตามคำสั่งขาย (MTO)""}"
FG-PSS-TH-01002,8215,8215,Poy-Sian Brand Mark II Inhaler  (Thai Label) 10*6 (5dz)( Each carton contains 20 units ),53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
FG-PSS-TH-01002,8215,8215,Poy-Sian Brand Mark II Inhaler  (Thai Label) 10*6 (5dz)( Each carton contains 20 units ),62,"{""en_US"": ""Manufacture (Pharma)""}"
FG-PSS-TH-01003,8216,8216,ยาดมโป๊ยเซียน (2x6) 70โหล ลังยาว,1,"{""en_US"": ""Replenish on Order (MTO)"", ""th_TH"": ""เติมสินค้าตามคำสั่งขาย (MTO)""}"
FG-PSS-TH-01003,8216,8216,ยาดมโป๊ยเซียน (2x6) 70โหล ลังยาว,53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
FG-PSS-TH-01003,8216,8216,ยาดมโป๊ยเซียน (2x6) 70โหล ลังยาว,62,"{""en_US"": ""Manufacture (Pharma)""}"
FG-PSS-TH-01004,8217,8217,ยาดมโป๊ยเซียน (4x6) 100โหล 7-11,1,"{""en_US"": ""Replenish on Order (MTO)"", ""th_TH"": ""เติมสินค้าตามคำสั่งขาย (MTO)""}"
FG-PSS-TH-01004,8217,8217,ยาดมโป๊ยเซียน (4x6) 100โหล 7-11,53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
FG-PSS-TH-01004,8217,8217,ยาดมโป๊ยเซียน (4x6) 100โหล 7-11,62,"{""en_US"": ""Manufacture (Pharma)""}"
FG-PSS-TH-01005,8224,8224,"Poy-Sian Brand Mark II Inhaler  (Thai Label) 10*6 (5dz)
( Each carton contains 16 units )",1,"{""en_US"": ""Replenish on Order (MTO)"", ""th_TH"": ""เติมสินค้าตามคำสั่งขาย (MTO)""}"
FG-PSS-TH-01005,8224,8224,"Poy-Sian Brand Mark II Inhaler  (Thai Label) 10*6 (5dz)
( Each carton contains 16 units )",53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
FG-PSS-TH-01005,8224,8224,"Poy-Sian Brand Mark II Inhaler  (Thai Label) 10*6 (5dz)
( Each carton contains 16 units )",62,"{""en_US"": ""Manufacture (Pharma)""}"
FG-PSS-TH-01006,8230,8230,ยาดมโป๊ยเซียน (4x6) 100โหล KP,1,"{""en_US"": ""Replenish on Order (MTO)"", ""th_TH"": ""เติมสินค้าตามคำสั่งขาย (MTO)""}"
FG-PSS-TH-01006,8230,8230,ยาดมโป๊ยเซียน (4x6) 100โหล KP,53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
FG-PSS-TH-01006,8230,8230,ยาดมโป๊ยเซียน (4x6) 100โหล KP,62,"{""en_US"": ""Manufacture (Pharma)""}"
FG-PSS-TH-01006,8379,8379,ยาดมโป๊ยเซียน (1*1) หลอดเดี่ยว,1,"{""en_US"": ""Replenish on Order (MTO)"", ""th_TH"": ""เติมสินค้าตามคำสั่งขาย (MTO)""}"
FG-PSS-TH-01006,8379,8379,ยาดมโป๊ยเซียน (1*1) หลอดเดี่ยว,53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
FG-PSS-TH-01006,8379,8379,ยาดมโป๊ยเซียน (1*1) หลอดเดี่ยว,62,"{""en_US"": ""Manufacture (Pharma)""}"
