bom_id,current_picking_type_id,current_picking_type_name,proposed_picking_type_id,proposed_picking_type_name,confidence,review_required,decision_source,decision_reason,sku,variant_codes,product_name,category,route_ids,route_names,bom_line_count,operation_count,workcenters
2942,,,60,Manufacturing Plastic,high,False,sku_prefix_rule,"Business rule: SM prefix = Plastic | Existing routes [60, 62]",SM-PLS-UP-02001,SM-PLS-UP-02001,ชิ้นส่วนยาดมตัวบน W02,ชิ้นส่วนหลอด,"60,62","{""en_US"": ""Auto Transfer Semi (Pharma)""} | {""en_US"": ""Manufacture (Pharma)""}",2,1,เครื่องฉีดพลาสติก 5
2943,,,60,Manufacturing Plastic,high,False,sku_prefix_rule,Business rule: SM prefix = Plastic,SM-PLS-UP-01001,SM-PLS-UP-01001,ชิ้นส่วนยาดมตัวบน W01,ชิ้นส่วนหลอด,,,2,1,เครื่องฉีดพลาสติก 5
2944,,,60,Manufacturing Plastic,high,False,sku_prefix_rule,"Business rule: SM prefix = Plastic | Existing routes [60, 62]",SM-PLS-MI-02001,SM-PLS-MI-02001,ชิ้นส่วนยาดมตัวกลางW02,ชิ้นส่วนหลอด,"60,62","{""en_US"": ""Auto Transfer Semi (Pharma)""} | {""en_US"": ""Manufacture (Pharma)""}",2,1,เครื่องฉีดพลาสติก 2
2945,,,60,Manufacturing Plastic,high,False,sku_prefix_rule,Business rule: SM prefix = Plastic,SM-PLS-MI-01001,SM-PLS-MI-01001,ชิ้นส่วนยาดมตัวกลางW01,ชิ้นส่วนหลอด,,,2,1,เครื่องฉีดพลาสติก 4
2946,,,60,Manufacturing Plastic,high,False,sku_prefix_rule,"Business rule: SM prefix = Plastic | Existing routes [60, 62]",SM-PLS-LO-02001,SM-PLS-LO-02001,ชิ้นส่วนยาดมตัวล่างW02,ชิ้นส่วนหลอด,"60,62","{""en_US"": ""Auto Transfer Semi (Pharma)""} | {""en_US"": ""Manufacture (Pharma)""}",2,1,เครื่องฉีดพลาสติก 1
2947,,,60,Manufacturing Plastic,high,False,sku_prefix_rule,Business rule: SM prefix = Plastic,SM-PLS-LO-01001,SM-PLS-LO-01001,ชิ้นส่วนยาดม PS ตัวล่างW01,ชิ้นส่วนหลอด,,,2,0,
2948,,,60,Manufacturing Plastic,high,False,sku_prefix_rule,"Business rule: SM prefix = Plastic | Existing routes [61, 63]",SM-JOI-PK-02002,SM-JOI-PK-02002,ตัวต่อสี W02 ชมพูสะท้อนแสง,ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,"61,63","{""en_US"": ""Auto Transfer Semi (Plastic)""} | {""en_US"": ""Manufacture (Plastic)""}",2,1,เครื่องฉีดพลาสติก 3
2949,,,60,Manufacturing Plastic,high,False,sku_prefix_rule,Business rule: SM prefix = Plastic,SM-JOI-PK-01002,SM-JOI-PK-01002,ตัวต่อสี W01 ชมพูสะท้อนแสง,ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,,,2,1,เครื่องฉีดพลาสติก 3
2950,,,60,Manufacturing Plastic,high,False,sku_prefix_rule,"Business rule: SM prefix = Plastic | Existing routes [61, 63]",SM-JOI-PP-02001,SM-JOI-PP-02001,ตัวต่อสี W02 ม่วง,ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,"61,63","{""en_US"": ""Auto Transfer Semi (Plastic)""} | {""en_US"": ""Manufacture (Plastic)""}",2,1,เครื่องฉีดพลาสติก 3
2951,,,60,Manufacturing Plastic,high,False,sku_prefix_rule,Business rule: SM prefix = Plastic,SM-JOI-PP-01001,SM-JOI-PP-01001,ตัวต่อสี W01 ม่วง,ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,,,2,1,เครื่องฉีดพลาสติก 3
