bom_id,current_picking_type_id,current_picking_type_name,proposed_picking_type_id,proposed_picking_type_name,confidence,review_required,decision_source,decision_reason,sku,variant_codes,product_name,category,route_ids,route_names,bom_line_count,operation_count,workcenters
2990,,,59,Manufacturing Pharma,low,True,sku,FG prefix defaulted to Pharma for review,FG-PSS-TH-01006,FG-PSS-TH-01006,ยาดมโป๊ยเซียน (4x6) 100โหล KP,ยาดมตราโป๊ยเซียน,,,3,1,เครื่องปิดเทปกาวกล่อง
3022,,,59,Manufacturing Pharma,low,True,sku,FG prefix defaulted to Pharma for review,FG-PSS-MY-04001,FG-PSS-MY-04001,ยาดมโป๊ยเซียนสีชมพูสะท้อนแสง มาเลเซีย,ยาดมตราโป๊ยเซียน,,,5,1,เครื่องบรรจุประกอบหลอด เครื่อง 1
3023,,,59,Manufacturing Pharma,low,True,sku,FG prefix defaulted to Pharma for review,FG-PSS-MY-04002,FG-PSS-MY-04002,ยาดมโป๊ยเซียนสีม่วง มาเลเซีย,ยาดมตราโป๊ยเซียน,,,5,1,เครื่องบรรจุประกอบหลอด เครื่อง 1
3024,,,59,Manufacturing Pharma,low,True,sku,FG prefix defaulted to Pharma for review,FG-PSS-MY-04003,FG-PSS-MY-04003,ยาดมโป๊ยเซียนชมพู มาเลเซีย,ยาดมตราโป๊ยเซียน,,,5,1,เครื่องบรรจุประกอบหลอด เครื่อง 1
3025,,,59,Manufacturing Pharma,low,True,sku,FG prefix defaulted to Pharma for review,FG-PSS-MY-04004,FG-PSS-MY-04004,ยาดมโป๊ยเซียนฟ้า มาเลเซีย,ยาดมตราโป๊ยเซียน,,,5,1,เครื่องบรรจุประกอบหลอด เครื่อง 1
3026,,,59,Manufacturing Pharma,low,True,sku,FG prefix defaulted to Pharma for review,FG-PSS-MY-04005,FG-PSS-MY-04005,ยาดมโป๊ยเซียนเหลือง มาเลเซีย,ยาดมตราโป๊ยเซียน,,,5,1,เครื่องบรรจุประกอบหลอด เครื่อง 1
3027,,,59,Manufacturing Pharma,low,True,sku,FG prefix defaulted to Pharma for review,FG-PSS-MY-04006,FG-PSS-MY-04006,ยาดมโป๊ยเซียนเขียว มาเลเซีย,ยาดมตราโป๊ยเซียน,,,5,1,เครื่องบรรจุประกอบหลอด เครื่อง 1
3028,,,59,Manufacturing Pharma,low,True,sku,FG prefix defaulted to Pharma for review,FG-PSS-MY-03001,FG-PSS-MY-03001,ยาดมโป๊ยเซียน แผง มาเลเซีย,ยาดมตราโป๊ยเซียน,,,8,2,เครื่องอัดแผงยาดม 3 Cut เครื่อง 1 | เครื่องอัดแผงยาดม 3 Cut เครื่อง 2
3029,,,59,Manufacturing Pharma,low,True,sku,FG prefix defaulted to Pharma for review,FG-PSS-MY-02001,FG-PSS-MY-02001,ยาดมโป๊ยเซียน 5โหล มาเลเซีย,ยาดมตราโป๊ยเซียน,,,3,2,เครื่องชั่งสายพาน Check weight balance | เครื่องหุ้มฟิล์ม 5 โหล แบบอุโมงค์
3030,,,59,Manufacturing Pharma,low,True,sku,FG prefix defaulted to Pharma for review,FG-PSS-MY-01001,FG-PSS-MY-01001,ยาดมโป๊ยเซียน(10x6) 5โหล มาเลเซีย,ยาดมตราโป๊ยเซียน,,,3,1,เครื่องปิดเทปกาวกล่อง
3096,,,59,Manufacturing Pharma,low,True,sku,FG prefix defaulted to Pharma for review,FG-PSK-TH-03001,FG-PSK-TH-03001,ยาดมโป๊ยเซียนพวงกุญแจ สีชมพูสะท้อนแสง,ยาดม PS (พวงกุญแจ),,,6,1,เครื่องบรรจุประกอบหลอด เครื่อง 1
