product_code,product_id,template_id,bom_id,manufacturing_type_before,manufacturing_type_after,bom_picking_type_before,bom_picking_type_after,route_ids_before,route_ids_after
FG-MTS-XX-01001,7965,7965,3152,pharma,pharma,0,59,,"1,60,62"
FG-MTS-XX-02001,8510,8510,3151,pharma,pharma,0,59,,"1,60,62"
FG-MTS-XX-03001,8511,8511,3150,pharma,pharma,0,59,,"1,60,62"
FG-PAK-XX-01001,8237,8237,4045,pharma,pharma,0,59,,"1,60,62"
FG-PAK-XX-01002,8238,8238,4049,pharma,pharma,0,59,,"1,60,62"
FG-PAK-XX-02001,8613,8613,4044,pharma,pharma,0,59,,"1,60,62"
FG-PAK-XX-03001,8614,8614,4043,pharma,pharma,0,59,,"1,60,62"
FG-PAK-XX-05001,8616,8616,4042,pharma,pharma,0,59,,"1,60,62"
FG-PAS-XX-01001,8235,8235,4037,pharma,pharma,0,59,,"1,60,62"
FG-PAS-XX-02001,8617,8617,4036,pharma,pharma,0,59,,"1,60,62"
FG-PAS-XX-03001,8618,8618,4035,pharma,pharma,0,59,,"1,60,62"
FG-PAS-XX-04001,8619,8619,4034,pharma,pharma,0,59,,"1,60,62"
FG-PNC-TH-01001,7985,7985,3520,pharma,pharma,0,59,,62
FG-PNC-TH-01002,7983,7983,3521,pharma,pharma,0,59,,62
FG-PNC-TH-01003,7986,7986,3523,pharma,pharma,0,59,,62
FG-PNC-TH-01004,7984,7984,4054,pharma,pharma,0,59,,62
FG-PNC-TH-02002,8563,8563,3518,pharma,pharma,0,59,,62
FG-PNC-TH-03001,8564,8564,3517,pharma,pharma,0,59,,62
FG-PNC-TH-04001,8565,8565,3516,pharma,pharma,0,59,,62
FG-PNF-TH-01003,8366,8366,4064,pharma,pharma,0,59,5,62
FG-PNR-TH-01004,8009,8009,3512,pharma,pharma,0,59,,62
FG-PNR-TH-01005,8382,8382,4061,pharma,pharma,0,59,5,62
FG-PPK-TH-01003,8209,8209,4053,pharma,pharma,0,59,,62
FG-PPR-TH-01004,8010,8010,3798,pharma,pharma,0,59,,62
FG-PSK-TH-01001,8206,8206,4063,pharma,pharma,0,59,,62
FG-PSK-TH-01002,8205,8205,3104,pharma,pharma,0,59,,62
FG-PSK-TH-02001,8580,8580,3103,pharma,pharma,0,59,,62
FG-PSK-TH-03001,8581,8581,3096,pharma,pharma,0,59,,"60,62"
FG-PSK-TH-03002,8582,8582,3097,pharma,pharma,0,59,,"60,62"
FG-PSK-TH-03003,8583,8583,3098,pharma,pharma,0,59,,"60,62"
FG-PSK-TH-03004,8584,8584,3099,pharma,pharma,0,59,,"60,62"
FG-PSK-TH-03005,8585,8585,3100,pharma,pharma,0,59,,"60,62"
FG-PSK-TH-03006,8586,8586,3101,pharma,pharma,0,59,,"60,62"
FG-PSS-LA-01001,8228,8228,4062,pharma,pharma,0,59,"1,5","1,60,62"
FG-PSS-MY-01001,8226,8226,3030,pharma,pharma,0,59,,"1,60,62"
FG-PSS-MY-02001,8595,8595,3029,pharma,pharma,0,59,,"1,60,62"
FG-PSS-MY-03001,8596,8596,3028,pharma,pharma,0,59,,"1,60,62"
FG-PSS-MY-04001,8597,8597,3022,pharma,pharma,0,59,,"1,60,62"
FG-PSS-MY-04002,8598,8598,3023,pharma,pharma,0,59,,"1,60,62"
FG-PSS-MY-04003,8599,8599,3024,pharma,pharma,0,59,,"1,60,62"
FG-PSS-MY-04004,8600,8600,3025,pharma,pharma,0,59,,"1,60,62"
FG-PSS-MY-04005,8601,8601,3026,pharma,pharma,0,59,,"1,60,62"
FG-PSS-MY-04006,8602,8602,3027,pharma,pharma,0,59,,"1,60,62"
FG-PSS-PB-01001,8035,8035,4058,pharma,plastic,0,60,,63
FG-PSS-PB-01002,8034,8034,4057,pharma,plastic,0,60,,63
FG-PSS-PB-02001,8570,8570,4059,pharma,plastic,0,60,,63
FG-PSS-PB-03001,8571,8571,4060,pharma,plastic,0,60,,63
FG-PSS-TH-01006,8230,8230,2990,pharma,pharma,0,59,,62
FG-PSS-TH-01006,8379,8379,4066,pharma,pharma,0,59,,62
SM-JOI-BU-01001,8294,8294,2955,plastic,plastic,60,60,,"61,63"
SM-JOI-GR-02001,8296,8296,2959,plastic,plastic,60,60,,"61,63"
SM-JOI-PK-01001,8292,8292,2953,pharma,plastic,60,60,,"61,63"
SM-JOI-PK-01002,8293,8293,2949,pharma,plastic,60,60,,"61,63"
SM-JOI-PK-02001,8298,8298,2952,pharma,plastic,60,60,"61,63","61,63"
SM-JOI-PK-02002,8299,8299,2948,pharma,plastic,60,60,"61,63","61,63"
SM-JOI-PP-01001,8295,8295,2951,plastic,plastic,60,60,,"61,63"
SM-JOI-RE-02001,8283,8283,3803,plastic,plastic,60,60,63,"61,63"
SM-JOI-YW-01001,8297,8297,2957,plastic,plastic,60,60,,"61,63"
SM-PLS-LO-01001,8025,8025,2947,plastic,plastic,60,60,,"61,63"
SM-PLS-MI-01001,8327,8327,2945,plastic,plastic,60,60,,"61,63"
SM-PLS-PU-01001,8027,8027,2963,plastic,plastic,60,60,,"61,63"
SM-PLS-TU-01001,8029,8029,2961,plastic,plastic,60,60,,"61,63"
SM-PLS-UP-01001,8031,8031,2943,plastic,plastic,60,60,,"61,63"
