case,doc_type,name,state,extra
promo_quote_creation,sale_order,S11563,draft,invoice_status=no amount_total=1236.0
foc_zero_mto_live,sale_order,SOB-263069,sale,invoice_status=invoiced amount_total=0.0
foc_zero_mto_live,invoice,INV-D/26/03/00960,posted,amount_total=0.0 invoice_date=2026-03-30
foc_zero_mto_live,order_linked_picking,GMP/PICK/03571,,
foc_zero_mto_live,order_linked_picking,GMP/OUT/02504,,
foc_zero_mto_live,done_picking,GMP/PICK/03571,done,
foc_zero_mto_live,done_picking,GMP/OUT/02504,done,
foc_zero_mto_live,done_mo,GMP/MOPL/00002,done,
foc_zero_mto_live,done_mo,GMP/MOPL/00001,done,
foc_zero_mto_live,done_mo,GMP/MOPH/00005,done,
foc_zero_mto_live,done_mo,GMP/MOPH/00004,done,
foc_zero_mto_live,done_mo,GMP/MOPH/00003,done,
foc_zero_mto_live,done_mo,GMP/MOPH/00002,done,
foc_zero_mto_live,journal_entry,STJ/26/03/27298,,GMP/MOPH/00002
foc_zero_mto_live,journal_entry,STJ/26/03/27299,,GMP/MOPH/00002
foc_zero_mto_live,journal_entry,STJ/26/03/27300,,GMP/MOPH/00002
foc_zero_mto_live,journal_entry,STJ/26/03/27301,,GMP/MOPH/00002
foc_zero_mto_live,journal_entry,STJ/26/03/27294,,GMP/MOPH/00003
foc_zero_mto_live,journal_entry,STJ/26/03/27295,,GMP/MOPH/00003
foc_zero_mto_live,journal_entry,STJ/26/03/27296,,GMP/MOPH/00003
foc_zero_mto_live,journal_entry,STJ/26/03/27297,,GMP/MOPH/00003
foc_zero_mto_live,journal_entry,STJ/26/03/27292,,GMP/MOPH/00004
foc_zero_mto_live,journal_entry,STJ/26/03/27293,,GMP/MOPH/00004
foc_zero_mto_live,journal_entry,STJ/26/03/27290,,GMP/MOPL/00002
foc_zero_mto_live,journal_entry,STJ/26/03/27291,,GMP/MOPL/00002
mto_standard_live,sale_order,SOB-263070,sale,invoice_status=invoiced amount_total=0.0
mto_standard_live,invoice,INV-D/26/03/00961,posted,amount_total=0.0 invoice_date=2026-03-30
mto_standard_live,order_linked_picking,GMP/PICK/03572,,
mto_standard_live,order_linked_picking,GMP/OUT/02505,,
mto_standard_live,done_picking,GMP/PICK/03572,done,
mto_standard_live,done_picking,GMP/OUT/02505,done,
mto_standard_live,done_mo,GMP/MOPH/00010,done,
mto_standard_live,done_mo,GMP/MOPH/00009,done,
mto_standard_live,done_mo,GMP/MOPH/00008,done,
mto_standard_live,done_mo,GMP/MOPH/00007,done,
mto_standard_live,done_mo,GMP/MOPH/00006,done,
mto_standard_live,journal_entry,STJ/26/03/27312,,GMP/MOPH/00006
mto_standard_live,journal_entry,STJ/26/03/27313,,GMP/MOPH/00006
mto_standard_live,journal_entry,STJ/26/03/27314,,GMP/MOPH/00006
mto_standard_live,journal_entry,STJ/26/03/27308,,GMP/MOPH/00007
mto_standard_live,journal_entry,STJ/26/03/27309,,GMP/MOPH/00007
mto_standard_live,journal_entry,STJ/26/03/27310,,GMP/MOPH/00007
mto_standard_live,journal_entry,STJ/26/03/27311,,GMP/MOPH/00007
mto_standard_live,journal_entry,STJ/26/03/27304,,GMP/MOPH/00008
mto_standard_live,journal_entry,STJ/26/03/27305,,GMP/MOPH/00008
mto_standard_live,journal_entry,STJ/26/03/27306,,GMP/MOPH/00008
mto_standard_live,journal_entry,STJ/26/03/27307,,GMP/MOPH/00008
mts_min_max_live,done_mo,GMP/MOPH/00011,done,
mts_min_max_live,replenishment_mo,GMP/MOPH/00011,,
mts_min_max_live,journal_entry,STJ/26/03/27317,,GMP/MOPH/00011
mts_100000_existing_trace,existing_mo,GMP/MOPH/00001,,existing 100000 trace
mts_100000_existing_trace,journal_entry,STJ/26/03/27289,,GMP/MOPH/00001
shopfloor_scrap_mold_live,scrap,SP/00001,done,qty=1.0 lot=SHOPMOLD-FG-8292-20260330085840
shopfloor_scrap_mold_live,labor_journal,STJ/26/03/27322,,GMP/MOPL/00003
shopfloor_scrap_mold_live,mold_journal,STJ/26/03/27321,,GMP/MOPL/00003
shopfloor_scrap_mold_live,journal_entry,STJ/26/03/27318,,GMP/MOPL/00003
shopfloor_scrap_mold_live,journal_entry,STJ/26/03/27319,,GMP/MOPL/00003
shopfloor_scrap_mold_live,journal_entry,STJ/26/03/27320,,GMP/MOPL/00003
shopfloor_scrap_mold_live,journal_entry,STJ/26/03/27321,,GMP/MOPL/00003
shopfloor_scrap_mold_live,journal_entry,STJ/26/03/27322,,GMP/MOPL/00003
