product_id,default_code,name,category
8033,SM-HAN-PS-00001,{'en_US': 'ไม้แขวนเสื้อสีเขียว'},All / SFG / พลาสติก / ชิ้นส่วนหลอด
8294,SM-JOI-BU-01001,{'en_US': 'ตัวต่อสี W01 ฟ้า'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ
8300,SM-JOI-BU-02001,{'en_US': 'ตัวต่อสี W02 ฟ้า'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ
8302,SM-JOI-GN-01001,{'en_US': 'ตัวต่อสี W02 เขียว'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ
8296,SM-JOI-GR-02001,{'en_US': 'ตัวต่อสี W01 เขียว'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ
8292,SM-JOI-PK-01001,{'en_US': 'ตัวต่อสี W01 ชมพู'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ
8293,SM-JOI-PK-01002,{'en_US': 'ตัวต่อสี W01 ชมพูสะท้อนแสง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ
8298,SM-JOI-PK-02001,{'en_US': 'ตัวต่อสี W02 ชมพู'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ
8299,SM-JOI-PK-02002,{'en_US': 'ตัวต่อสี W02 ชมพูสะท้อนแสง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ
8295,SM-JOI-PP-01001,{'en_US': 'ตัวต่อสี W01 ม่วง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ
8301,SM-JOI-PP-02001,{'en_US': 'ตัวต่อสี W02 ม่วง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ
8283,SM-JOI-RE-02001,{'en_US': 'ตัวต่อสี W02 แดง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ
8297,SM-JOI-YW-01001,{'en_US': 'ตัวต่อสี W01 เหลือง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ
