machine_id,mold_id,confidence
563,579,high
564,579,high
565,579,high
566,579,high
567,579,high
568,579,high
569,579,high
570,579,high
563,580,high
564,580,high
565,580,high
566,580,high
567,580,high
568,580,high
569,580,high
570,580,high
563,581,high
564,581,high
565,581,high
566,581,high
567,581,high
568,581,high
569,581,high
570,581,high
563,582,high
564,582,high
565,582,high
566,582,high
567,582,high
568,582,high
569,582,high
570,582,high
563,583,high
564,583,high
565,583,high
566,583,high
567,583,high
568,583,high
569,583,high
570,583,high
563,584,high
564,584,high
565,584,high
566,584,high
567,584,high
568,584,high
569,584,high
570,584,high
563,585,high
564,585,high
565,585,high
566,585,high
567,585,high
568,585,high
569,585,high
570,585,high
563,586,high
564,586,high
565,586,high
566,586,high
567,586,high
568,586,high
569,586,high
570,586,high
563,587,high
564,587,high
565,587,high
566,587,high
567,587,high
568,587,high
569,587,high
570,587,high
563,588,high
564,588,high
565,588,high
566,588,high
567,588,high
568,588,high
569,588,high
570,588,high
563,589,medium
564,589,medium
566,589,medium
567,589,medium
568,589,medium
569,589,medium
570,589,medium
563,590,medium
564,590,medium
565,590,medium
566,590,medium
567,590,medium
568,590,medium
569,590,medium
570,590,medium
563,591,high
564,591,high
565,591,high
566,591,high
567,591,high
568,591,high
569,591,high
570,591,high
563,592,medium
564,592,medium
565,592,medium
566,592,medium
567,592,medium
568,592,medium
569,592,medium
570,592,medium
563,593,high
564,593,high
565,593,high
566,593,high
567,593,high
568,593,high
569,593,high
570,593,high
563,594,high
564,594,high
565,594,high
566,594,high
567,594,high
568,594,high
569,594,high
570,594,high
563,595,high
564,595,high
565,595,high
566,595,high
567,595,high
568,595,high
569,595,high
570,595,high
563,596,high
564,596,high
565,596,high
566,596,high
567,596,high
568,596,high
569,596,high
570,596,high
563,597,high
564,597,high
565,597,high
566,597,high
567,597,high
568,597,high
569,597,high
570,597,high
563,598,medium
564,598,medium
565,598,medium
566,598,medium
567,598,medium
568,598,medium
569,598,medium
570,598,medium
563,599,medium
564,599,medium
565,599,medium
566,599,medium
567,599,medium
568,599,medium
569,599,medium
570,599,medium
563,600,high
564,600,high
565,600,high
566,600,high
567,600,high
568,600,high
569,600,high
570,600,high
603,601,medium
