mold_id,mold_name,mold_cost_hour,mold_life_limit,mold_life_current,mold_cavities,compatible_machines,mapped_products
579,แม่พิมพ์พลาสติกตัวบน W01,0.0,0,0,1,,
580,แม่พิมพ์พลาสติกตัวบน W02,0.0,0,0,1,,
581,แม่พิมพ์พลาสติกตัวล่าง W01,0.0,0,0,1,,
582,แม่พิมพ์พลาสติกตัวล่าง W02,0.0,0,0,1,,
583,แม่พิมพ์พลาสติกตัวกลาง W01,0.0,0,0,1,,
584,แม่พิมพ์พลาสติกตัวกลาง W02,0.0,0,0,1,,
585,แม่พิมพ์พลาสติกหลอดน้ำ W01,0.0,0,0,1,,
586,แม่พิมพ์พลาสติกหลอดน้ำ W02,0.0,0,0,1,,
587,แม่พิมพ์พลาสติกตัวอุดหลอดน้ำ W01,0.0,0,0,1,,
588,แม่พิมพ์พลาสติกตัวอุดหลอดน้ำ W02,0.0,0,0,1,,
589,แม่พิมพ์พลาสติกตัวต่อสี W01,60.0,1000,22,1,เครื่องฉีดพลาสติก 3,"SM-JOI-PK-01001 {""en_US"": ""ตัวต่อสี W01 ชมพู""}"
590,แม่พิมพ์พลาสติกตัวต่อสี W02,0.0,0,0,1,,
591,แม่พิมพ์พลาสติกตัวบน PPR,0.0,0,0,1,,
592,แม่พิมพ์พลาสติกตัวล่าง PPR,0.0,0,0,1,,
593,แม่พิมพ์พลาสติกตัวกลาง PPR,0.0,0,0,1,,
594,แม่พิมพ์พลาสติกขวดพิมเสนสำลี,0.0,0,0,1,,
595,แม่พิมพ์พลาสติกฝาพิมเสนสำลี,0.0,0,0,1,,
596,แม่พิมพ์พลาสติกฝา 3 CC,0.0,0,0,1,,
597,แม่พิมพ์พลาสติกตัวบนพวกุญแจ,0.0,0,0,1,,
598,แม่พิมพ์พลาสติกกระปุกพิมเสน 4โหล ,0.0,0,0,1,,
599,แม่พิมพ์พลาสติกฝากระปุกพิมเสน 4โหล,0.0,0,0,1,,
600,แม่พิมพ์พลาสติกไม้แขวนเสื้อ,0.0,0,0,1,,
601,แม่พิมพ์พลาสติกกระปุกออมสิน,0.0,0,0,1,,
