mold_id,mold_name,compatible_machines,mapped_products
579,แม่พิมพ์พลาสติกตัวบน W01,เครื่องฉีดพลาสติก 1 | เครื่องฉีดพลาสติก 2 | เครื่องฉีดพลาสติก 3 | เครื่องฉีดพลาสติก 4 | เครื่องฉีดพลาสติก 5 | เครื่องฉีดพลาสติก 6 | เครื่องฉีดพลาสติก 7 | เครื่องฉีดพลาสติก 8,"SM-PLS-UP-01001 {""en_US"": ""ชิ้นส่วนยาดมตัวบน W01""}"
580,แม่พิมพ์พลาสติกตัวบน W02,เครื่องฉีดพลาสติก 1 | เครื่องฉีดพลาสติก 2 | เครื่องฉีดพลาสติก 3 | เครื่องฉีดพลาสติก 4 | เครื่องฉีดพลาสติก 5 | เครื่องฉีดพลาสติก 6 | เครื่องฉีดพลาสติก 7 | เครื่องฉีดพลาสติก 8,"SM-PLS-UP-02001 {""en_US"": ""ชิ้นส่วนยาดมตัวบน W02""}"
581,แม่พิมพ์พลาสติกตัวล่าง W01,เครื่องฉีดพลาสติก 1 | เครื่องฉีดพลาสติก 2 | เครื่องฉีดพลาสติก 3 | เครื่องฉีดพลาสติก 4 | เครื่องฉีดพลาสติก 5 | เครื่องฉีดพลาสติก 6 | เครื่องฉีดพลาสติก 7 | เครื่องฉีดพลาสติก 8,"SM-PLS-LO-01001 {""en_US"": ""ชิ้นส่วนยาดม PS ตัวล่างW01""}"
582,แม่พิมพ์พลาสติกตัวล่าง W02,เครื่องฉีดพลาสติก 1 | เครื่องฉีดพลาสติก 2 | เครื่องฉีดพลาสติก 3 | เครื่องฉีดพลาสติก 4 | เครื่องฉีดพลาสติก 5 | เครื่องฉีดพลาสติก 6 | เครื่องฉีดพลาสติก 7 | เครื่องฉีดพลาสติก 8,"SM-PLS-LO-02001 {""en_US"": ""ชิ้นส่วนยาดมตัวล่างW02""}"
583,แม่พิมพ์พลาสติกตัวกลาง W01,เครื่องฉีดพลาสติก 1 | เครื่องฉีดพลาสติก 2 | เครื่องฉีดพลาสติก 3 | เครื่องฉีดพลาสติก 4 | เครื่องฉีดพลาสติก 5 | เครื่องฉีดพลาสติก 6 | เครื่องฉีดพลาสติก 7 | เครื่องฉีดพลาสติก 8,"SM-PLS-MI-01001 {""en_US"": ""ชิ้นส่วนยาดมตัวกลางW01""}"
584,แม่พิมพ์พลาสติกตัวกลาง W02,เครื่องฉีดพลาสติก 1 | เครื่องฉีดพลาสติก 2 | เครื่องฉีดพลาสติก 3 | เครื่องฉีดพลาสติก 4 | เครื่องฉีดพลาสติก 5 | เครื่องฉีดพลาสติก 6 | เครื่องฉีดพลาสติก 7 | เครื่องฉีดพลาสติก 8,"SM-PLS-MI-02001 {""en_US"": ""ชิ้นส่วนยาดมตัวกลางW02""}"
585,แม่พิมพ์พลาสติกหลอดน้ำ W01,เครื่องฉีดพลาสติก 1 | เครื่องฉีดพลาสติก 2 | เครื่องฉีดพลาสติก 3 | เครื่องฉีดพลาสติก 4 | เครื่องฉีดพลาสติก 5 | เครื่องฉีดพลาสติก 6 | เครื่องฉีดพลาสติก 7 | เครื่องฉีดพลาสติก 8,"SM-PLS-TU-01001 {""en_US"": ""ชิ้นส่วนยาดมหลอดน้ำW01""}"
586,แม่พิมพ์พลาสติกหลอดน้ำ W02,เครื่องฉีดพลาสติก 1 | เครื่องฉีดพลาสติก 2 | เครื่องฉีดพลาสติก 3 | เครื่องฉีดพลาสติก 4 | เครื่องฉีดพลาสติก 5 | เครื่องฉีดพลาสติก 6 | เครื่องฉีดพลาสติก 7 | เครื่องฉีดพลาสติก 8,"SM-PLS-TU-02001 {""en_US"": ""ชิ้นส่วนยาดมหลอดน้ำW02""}"
587,แม่พิมพ์พลาสติกตัวอุดหลอดน้ำ W01,เครื่องฉีดพลาสติก 1 | เครื่องฉีดพลาสติก 2 | เครื่องฉีดพลาสติก 3 | เครื่องฉีดพลาสติก 4 | เครื่องฉีดพลาสติก 5 | เครื่องฉีดพลาสติก 6 | เครื่องฉีดพลาสติก 7 | เครื่องฉีดพลาสติก 8,"SM-PLS-PU-01001 {""en_US"": ""ชิ้นส่วนยาดมตัวอุดหลอดน้ำW01""}"
588,แม่พิมพ์พลาสติกตัวอุดหลอดน้ำ W02,เครื่องฉีดพลาสติก 1 | เครื่องฉีดพลาสติก 2 | เครื่องฉีดพลาสติก 3 | เครื่องฉีดพลาสติก 4 | เครื่องฉีดพลาสติก 5 | เครื่องฉีดพลาสติก 6 | เครื่องฉีดพลาสติก 7 | เครื่องฉีดพลาสติก 8,"SM-PLS-PU-02001 {""en_US"": ""ชิ้นส่วนยาดมตัวอุดหลอดน้ำW02""}"
589,แม่พิมพ์พลาสติกตัวต่อสี W01,เครื่องฉีดพลาสติก 1 | เครื่องฉีดพลาสติก 2 | เครื่องฉีดพลาสติก 3 | เครื่องฉีดพลาสติก 4 | เครื่องฉีดพลาสติก 5 | เครื่องฉีดพลาสติก 6 | เครื่องฉีดพลาสติก 7 | เครื่องฉีดพลาสติก 8,"SM-JOI-BU-01001 {""en_US"": ""ตัวต่อสี W01 ฟ้า""} | SM-JOI-GR-02001 {""en_US"": ""ตัวต่อสี W01 เขียว""} | SM-JOI-PK-01001 {""en_US"": ""ตัวต่อสี W01 ชมพู""} | SM-JOI-PK-01002 {""en_US"": ""ตัวต่อสี W01 ชมพูสะท้อนแสง""} | SM-JOI-PP-01001 {""en_US"": ""ตัวต่อสี W01 ม่วง""} | SM-JOI-YW-01001 {""en_US"": ""ตัวต่อสี W01 เหลือง""}"
590,แม่พิมพ์พลาสติกตัวต่อสี W02,เครื่องฉีดพลาสติก 1 | เครื่องฉีดพลาสติก 2 | เครื่องฉีดพลาสติก 3 | เครื่องฉีดพลาสติก 4 | เครื่องฉีดพลาสติก 5 | เครื่องฉีดพลาสติก 6 | เครื่องฉีดพลาสติก 7 | เครื่องฉีดพลาสติก 8,"SM-JOI-BU-02001 {""en_US"": ""ตัวต่อสี W02 ฟ้า""} | SM-JOI-GN-01001 {""en_US"": ""ตัวต่อสี W02 เขียว""} | SM-JOI-PK-02001 {""en_US"": ""ตัวต่อสี W02 ชมพู""} | SM-JOI-PK-02002 {""en_US"": ""ตัวต่อสี W02 ชมพูสะท้อนแสง""} | SM-JOI-PP-02001 {""en_US"": ""ตัวต่อสี W02 ม่วง""} | SM-JOI-RE-02001 {""en_US"": ""ตัวต่อสี W02 แดง""} | SM-JOI-YW-02001 {""en_US"": ""ตัวต่อสี W02 เหลือง""}"
591,แม่พิมพ์พลาสติกตัวบน PPR,เครื่องฉีดพลาสติก 1 | เครื่องฉีดพลาสติก 2 | เครื่องฉีดพลาสติก 3 | เครื่องฉีดพลาสติก 4 | เครื่องฉีดพลาสติก 5 | เครื่องฉีดพลาสติก 6 | เครื่องฉีดพลาสติก 7 | เครื่องฉีดพลาสติก 8,"SM-PPR-TH-02001 {""en_US"": ""ชิ้นส่วนยาดม PePex แดง ตัวบน""}"
592,แม่พิมพ์พลาสติกตัวล่าง PPR,เครื่องฉีดพลาสติก 1 | เครื่องฉีดพลาสติก 2 | เครื่องฉีดพลาสติก 3 | เครื่องฉีดพลาสติก 4 | เครื่องฉีดพลาสติก 5 | เครื่องฉีดพลาสติก 6 | เครื่องฉีดพลาสติก 7 | เครื่องฉีดพลาสติก 8,"SM-PPR-TH-03002 {""en_US"": ""ชิ้นส่วนยาดม PePexแดง ตัวล่าง กึ่งสำเร็จ""}"
593,แม่พิมพ์พลาสติกตัวกลาง PPR,เครื่องฉีดพลาสติก 1 | เครื่องฉีดพลาสติก 2 | เครื่องฉีดพลาสติก 3 | เครื่องฉีดพลาสติก 4 | เครื่องฉีดพลาสติก 5 | เครื่องฉีดพลาสติก 6 | เครื่องฉีดพลาสติก 7 | เครื่องฉีดพลาสติก 8,"SM-PPR-TH-02003 {""en_US"": ""ชิ้นส่วนยาดม PePex แดง ตัวกลาง""}"
594,แม่พิมพ์พลาสติกขวดพิมเสนสำลี,เครื่องฉีดพลาสติก 1 | เครื่องฉีดพลาสติก 2 | เครื่องฉีดพลาสติก 3 | เครื่องฉีดพลาสติก 4 | เครื่องฉีดพลาสติก 5 | เครื่องฉีดพลาสติก 6 | เครื่องฉีดพลาสติก 7 | เครื่องฉีดพลาสติก 8,"SM-PNC-BT-03001 {""en_US"": ""ขวดพิมเสนน้ำสำลี กึ่งสำเร็จ""}"
595,แม่พิมพ์พลาสติกฝาพิมเสนสำลี,เครื่องฉีดพลาสติก 1 | เครื่องฉีดพลาสติก 2 | เครื่องฉีดพลาสติก 3 | เครื่องฉีดพลาสติก 4 | เครื่องฉีดพลาสติก 5 | เครื่องฉีดพลาสติก 6 | เครื่องฉีดพลาสติก 7 | เครื่องฉีดพลาสติก 8,"SM-PNC-CA-02001 {""en_US"": ""ฝาพิมเสนน้ำสำลี W01""}"
596,แม่พิมพ์พลาสติกฝา 3 CC,เครื่องฉีดพลาสติก 1 | เครื่องฉีดพลาสติก 2 | เครื่องฉีดพลาสติก 3 | เครื่องฉีดพลาสติก 4 | เครื่องฉีดพลาสติก 5 | เครื่องฉีดพลาสติก 6 | เครื่องฉีดพลาสติก 7 | เครื่องฉีดพลาสติก 8,"SM-PNF-CA-02001 {""en_US"": ""ฝาเขียวแก้วแบน 3CC กึ่งสำเร็จ""}"
597,แม่พิมพ์พลาสติกตัวบนพวกุญแจ,เครื่องฉีดพลาสติก 1 | เครื่องฉีดพลาสติก 2 | เครื่องฉีดพลาสติก 3 | เครื่องฉีดพลาสติก 4 | เครื่องฉีดพลาสติก 5 | เครื่องฉีดพลาสติก 6 | เครื่องฉีดพลาสติก 7 | เครื่องฉีดพลาสติก 8,"SM-PLK-UP-00001 {""en_US"": ""ชิ้นส่วนยาดมตัวบนพวงกุญแจ""}"
598,แม่พิมพ์พลาสติกกระปุกพิมเสน 4โหล ,เครื่องฉีดพลาสติก 1 | เครื่องฉีดพลาสติก 2 | เครื่องฉีดพลาสติก 3 | เครื่องฉีดพลาสติก 4 | เครื่องฉีดพลาสติก 5 | เครื่องฉีดพลาสติก 6 | เครื่องฉีดพลาสติก 7 | เครื่องฉีดพลาสติก 8,"SM-PNC-PB-02001 {""en_US"": ""กระปุกพิมเสนน้ำ 4 โหล กึ่งสำเร็จ""}"
599,แม่พิมพ์พลาสติกฝากระปุกพิมเสน 4โหล,เครื่องฉีดพลาสติก 1 | เครื่องฉีดพลาสติก 2 | เครื่องฉีดพลาสติก 3 | เครื่องฉีดพลาสติก 4 | เครื่องฉีดพลาสติก 5 | เครื่องฉีดพลาสติก 6 | เครื่องฉีดพลาสติก 7 | เครื่องฉีดพลาสติก 8,"SM-PNC-PB-01002 {""en_US"": ""ฝากระปุกพิมเสนน้ำ 4 โหล""}"
600,แม่พิมพ์พลาสติกไม้แขวนเสื้อ,เครื่องฉีดพลาสติก 1 | เครื่องฉีดพลาสติก 2 | เครื่องฉีดพลาสติก 3 | เครื่องฉีดพลาสติก 4 | เครื่องฉีดพลาสติก 5 | เครื่องฉีดพลาสติก 6 | เครื่องฉีดพลาสติก 7 | เครื่องฉีดพลาสติก 8,"SM-HAN-PS-00001 {""en_US"": ""ไม้แขวนเสื้อสีเขียว""}"
601,แม่พิมพ์พลาสติกกระปุกออมสิน,เครื่องเป่ากระปุกออมสิน,"SM-PLS-PB-00001 {""en_US"": ""กระปุกออมสิน PS""}"
