product_id,default_code,product_name,category_name,active
7967,FG-MTK-IL-01001,"Classification No.: 90.18 Dragon Inhaler Mark II with keyholder
(Nasal Inhaler 24 Units in display+shrink)",All / FG / ยาดม MARK II,True
8507,FG-MTK-IL-02001,ยาดม Mark II อิสราเอล 1 กล่อง,All / FG / ยาดม MARK II,True
8508,FG-MTK-IL-03001,ยาดม Mark II อิสราเอล + พวงกุญแจ,All / FG / ยาดม MARK II,True
8509,FG-MTK-IL-04001,ยาดม Mark II อิสราเอล,All / FG / ยาดม MARK II,True
7966,FG-MTK-XX-0,ยาดม Mark II (10x6) 5โหล Customized,All / FG / ยาดม MARK II,True
8963,FG-MTS-CA-01001,"Mark II Inhaler (Canada) 10*6 (5 dz)
( Each carton contains 20 units )",All / FG / ยาดม MARK II,True
7972,FG-MTS-GH-01001,"Mark II Inhaler (Ghana) 10*6 (5 dz)
( Each carton contains 20 units )",All / FG / ยาดม MARK II,True
8525,FG-MTS-GH-02001,ยาดม Mark II กล่อง 5 โหล กาน่า(หุ้ม),All / FG / ยาดม MARK II,True
8526,FG-MTS-GH-03001,ยาดม Mark II แผง กาน่า,All / FG / ยาดม MARK II,True
7970,FG-MTS-JP-01001,"Mark II Nose Mint Inhaler (1*1) (Blue)
( Each carton contains 2,000 sticks )",All / FG / ยาดม MARK II,True
8518,FG-MTS-JP-02001,ยาดม Mark II ญี่ปุ่น,All / FG / ยาดม MARK II,True
7971,FG-MTS-TW-01001,"Mark II Aroma Oil Stick (Taiwan) (1*1)
( Each carton contains 2,000 sticks )",All / FG / ยาดม MARK II,True
8998,FG-MTS-TW-01002,Mark II – Aroma Oil Stick (T000878 – Unicorn Version),All / FG / ยาดม MARK II,True
8519,FG-MTS-TW-02001,ยาดม Mark II ไต้หวัน สีชมพูสะท้อนแสง,All / FG / ยาดม MARK II,True
8520,FG-MTS-TW-02002,ยาดม Mark II ไต้หวัน สีม่วง,All / FG / ยาดม MARK II,True
8521,FG-MTS-TW-02003,ยาดม Mark II ไต้หวัน สีชมพู,All / FG / ยาดม MARK II,True
8522,FG-MTS-TW-02004,ยาดม Mark II ไต้หวัน สีฟ้า,All / FG / ยาดม MARK II,True
8523,FG-MTS-TW-02005,ยาดม Mark II ไต้หวัน สีเหลือง,All / FG / ยาดม MARK II,True
8524,FG-MTS-TW-02006,ยาดม Mark II ไต้หวัน สีเขียว,All / FG / ยาดม MARK II,True
7965,FG-MTS-XX-01001,"Mark II Inhaler 10*6 (5 dz)
( Each carton contains 20 units )",All / FG / ยาดม MARK II,True
7968,FG-MTS-XX-01002,ยาดม Mark II (1x6) แผง,All / FG / ยาดม MARK II,True
7969,FG-MTS-XX-01003,Mark II (6x1) Box,All / FG / ยาดม MARK II,True
8510,FG-MTS-XX-02001,ยาดม Mark II กล่อง 5 โหล (หุ้ม),All / FG / ยาดม MARK II,True
8511,FG-MTS-XX-03001,ยาดม Mark II แผง,All / FG / ยาดม MARK II,True
8512,FG-MTS-XX-04001,ยาดม Mark II สีชมพูสะท้อนแสง,All / FG / ยาดม MARK II,True
8513,FG-MTS-XX-04002,ยาดม Mark II สีม่วง,All / FG / ยาดม MARK II,True
8514,FG-MTS-XX-04003,ยาดม Mark II สีชมพู,All / FG / ยาดม MARK II,True
8515,FG-MTS-XX-04004,ยาดม Mark II สีฟ้า,All / FG / ยาดม MARK II,True
8516,FG-MTS-XX-04005,ยาดม Mark II สีเหลือง,All / FG / ยาดม MARK II,True
8517,FG-MTS-XX-04006,ยาดม Mark II สีเขียว,All / FG / ยาดม MARK II,True
8237,FG-PAK-XX-01001,"Pax 2 Ways Inhaler with keyholder blue 10*6 (5dz)
( Each carton contains 20 units )",All / FG / ยาดม PAX,True
8238,FG-PAK-XX-01002,ยาดมPax2WKB(1x6),All / FG / ยาดม PAX,True
8236,FG-PAK-XX-01003,ยาดมPax2WKB (1x1),All / FG / ยาดม PAX,True
8613,FG-PAK-XX-02001,ยาดม PAX-Key กล่อง 5โหล,All / FG / ยาดม PAX,True
8614,FG-PAK-XX-03001,ยาดม PAX-Key แผง,All / FG / ยาดม PAX,True
8615,FG-PAK-XX-04001,ยาดม PAX-Key หลอด,All / FG / ยาดม PAX,True
8616,FG-PAK-XX-05001,ยาดม PAX-Key ,All / FG / ยาดม PAX,True
8235,FG-PAS-XX-01001,"Pax 2 Ways Inhaler without keyholder blue 10*6 (5dz)
( Each carton contains 20 units )",All / FG / ยาดม PAX,True
8234,FG-PAS-XX-01001,ยาดมPax2W(1x1) loose,All / FG / ยาดม PAX,True
8239,FG-PAS-XX-01002,ยาดมPax2WMC(10x6)5dz,All / FG / ยาดม PAX,True
8617,FG-PAS-XX-02001,ยาดม PAX กล่อง 5โหล,All / FG / ยาดม PAX,True
8618,FG-PAS-XX-03001,ยาดม PAX แผง,All / FG / ยาดม PAX,True
8619,FG-PAS-XX-04001,ยาดม PAX,All / FG / ยาดม PAX,True
7987,FG-PNC-ID-01001,"Pim Saen Balm Oil (8cc Cotton) Indonesia Label 12*1
(Each carton contains 120 dozen)",All / FG / พิมเสนสำลี 8 CC,True
8543,FG-PNC-ID-02001,พิมเสนสำลี 8cc 1โหล อินโดนีเซีย,All / FG / พิมเสนสำลี 8 CC,True
8544,FG-PNC-ID-03001,พิมเสนสำลี 8cc หุ้ม อินโดนีเซีย,All / FG / พิมเสนสำลี 8 CC,True
8545,FG-PNC-ID-04001,พิมเสนสำลี 8cc ไม่หุ้ม อินโดนีเซีย,All / FG / พิมเสนสำลี 8 CC,True
7978,FG-PNC-MM-01001,"Pim Saen Balm Oil (8cc Cotton) Myanmar Label 12*1 
(Each carton contains 120 dozen)",All / FG / พิมเสนสำลี 8 CC,True
8534,FG-PNC-MM-02001,พิมเสนสำลี 8cc 1โหล พม่า,All / FG / พิมเสนสำลี 8 CC,True
8535,FG-PNC-MM-03001,พิมเสนสำลี 8cc หุ้ม พม่า,All / FG / พิมเสนสำลี 8 CC,True
8536,FG-PNC-MM-04001,พิมเสนสำลี 8cc ไม่หุ้ม พม่า,All / FG / พิมเสนสำลี 8 CC,True
7985,FG-PNC-TH-01001,พิมเสนสำลี 8cc (24x1),All / FG / พิมเสนสำลี 8 CC,True
7983,FG-PNC-TH-01002,"Pim Saen Balm Oil (8cc Cotton) Thai Label 12*1
(Each carton contains 120 dozen)",All / FG / พิมเสนสำลี 8 CC,True
7986,FG-PNC-TH-01003,พิมเสนสำลี 8cc (4x1) 100U,All / FG / พิมเสนสำลี 8 CC,True
7984,FG-PNC-TH-01004,พิมเสนสำลี 8cc (12x1) 30U,All / FG / พิมเสนสำลี 8 CC,True
8012,FG-PNC-TH-01005,พิมเสนสำลี 8cc (1x1),All / FG / พิมเสนสำลี 8 CC,True
8563,FG-PNC-TH-02002,พิมเสนสำลี 8cc 1โหล,All / FG / พิมเสนสำลี 8 CC,True
8564,FG-PNC-TH-03001,พิมเสนสำลี 8cc หุ้ม,All / FG / พิมเสนสำลี 8 CC,True
8565,FG-PNC-TH-04001,พิมเสนสำลี 8cc ไม่หุ้ม,All / FG / พิมเสนสำลี 8 CC,True
7976,FG-PNC-XX-01001,"Pim Saen Balm Oil (8cc Cotton) English Label 12*1
(Each carton contains 120 dozen)",All / FG / พิมเสนสำลี 8 CC,True
7977,FG-PNC-XX-01002,พิมเสนสำลี 8cc (6x1) ตปท,All / FG / พิมเสนสำลี 8 CC,True
8530,FG-PNC-XX-02002,พิมเสนสำลี 8cc ครึ่งโหล ตปท,All / FG / พิมเสนสำลี 8 CC,True
8531,FG-PNC-XX-02003,พิมเสนสำลี 8cc 1โหล ตปท,All / FG / พิมเสนสำลี 8 CC,True
8532,FG-PNC-XX-03001,พิมเสนสำลี 8cc หุ้ม ตปท,All / FG / พิมเสนสำลี 8 CC,True
8533,FG-PNC-XX-04001,พิมเสนสำลี 8cc ไม่หุ้ม ตปท,All / FG / พิมเสนสำลี 8 CC,True
7974,FG-PNF-ID-01001,"Pim Saen Balm Oil (3cc Bottle) Indonesia Label 12*1
(Each carton contains 72 dozen)",All / FG / พิมเสนแก้วแบน 3 CC,True
8527,FG-PNF-ID-02001,พิมเสน แก้วแบน 3cc 1โหล อินโดนีเซีย,All / FG / พิมเสนแก้วแบน 3 CC,True
8528,FG-PNF-ID-03001,พิมเสน แก้วแบน 3cc หุ้ม อินโดนีเซีย,All / FG / พิมเสนแก้วแบน 3 CC,True
8529,FG-PNF-ID-04001,พิมเสน แก้วแบน 3cc ไม่หุ้ม อินโดนีเซีย,All / FG / พิมเสนแก้วแบน 3 CC,True
7973,FG-PNF-TH-01001,"Pim Saen Balm Oil (3cc Bottle) Thai Label 12*1
(Each carton contains 72 dozen)",All / FG / พิมเสนแก้วแบน 3 CC,True
7975,FG-PNF-TH-01002,พิมเสน แก้วแบน 3cc (12x1) 20U,All / FG / พิมเสนแก้วแบน 3 CC,True
8366,FG-PNF-TH-01003,แก้วแบน 3C ชั้น(1*1),All / FG / พิมเสนแก้วแบน 3 CC,True
8620,FG-PNF-TH-02001,พิมเสน แก้วแบน 3cc 1โหล,All / FG / พิมเสนแก้วแบน 3 CC,True
8621,FG-PNF-TH-03001,พิมเสน แก้วแบน 3cc หุ้ม,All / SFG / น้ำยา,True
8622,FG-PNF-TH-04001,พิมเสน แก้วแบน 3cc ไม่หุ้ม,All / SFG / น้ำยา,True
7982,FG-PNF-XX-01001,"Pim Saen Balm Oil (3cc Bottle) English Label 12*1
(Each carton contains 72 dozen)",All / FG / พิมเสนแก้วแบน 3 CC,True
8540,FG-PNF-XX-02001,พิมเสน แก้วแบน 3cc 1โหล ตปท,All / FG / พิมเสนแก้วแบน 3 CC,True
8541,FG-PNF-XX-03001,พิมเสน แก้วแบน 3cc หุ้ม ตปท,All / FG / พิมเสนแก้วแบน 3 CC,True
8542,FG-PNF-XX-04001,พิมเสน แก้วแบน 3cc ไม่หุ้ม ตปท,All / FG / พิมเสนแก้วแบน 3 CC,True
7990,FG-PNR-ID-01001,"Pim Saen Balm Oil (5cc Roll On) Indonesia Label 12*1
(Each carton contains 80 dozen)",All / FG / พิมเสนโรลออน 5 CC,True
8546,FG-PNR-ID-02001,พิมเสนโรลออน 5cc 1โหล อินโดนีเซีย,All / FG / พิมเสนโรลออน 5 CC,True
8547,FG-PNR-ID-03001,พิมเสนโรลออน 5cc หุ้ม อินโดนีเซีย,All / FG / พิมเสนโรลออน 5 CC,True
8548,FG-PNR-ID-04001,พิมเสนโรลออน 5cc ไม่หุ้ม อินโดนีเซีย,All / FG / พิมเสนโรลออน 5 CC,True
7991,FG-PNR-MM-01001,"Pim Saen Balm Oil (5cc Roll On) Myanmar Label 12*1
(Each carton contains 80 dozen)",All / FG / พิมเสนโรลออน 5 CC,True
8549,FG-PNR-MM-02001,พิมเสนโรลออน 5cc 1โหล พม่า,All / FG / พิมเสนโรลออน 5 CC,True
8550,FG-PNR-MM-03001,พิมเสนโรลออน 5cc หุ้ม พม่า,All / FG / พิมเสนโรลออน 5 CC,True
8551,FG-PNR-MM-04001,พิมเสนโรลออน 5cc ไม่หุ้ม พม่า,All / FG / พิมเสนโรลออน 5 CC,True
7989,FG-PNR-TH-01001,"Pim Saen Balm Oil (5cc Roll On) Thai Label 12*1
(Each carton contains 80 dozen)",All / FG / พิมเสนโรลออน 5 CC,True
7993,FG-PNR-TH-01002,พิมเสนโรลออน 5cc (24x1),All / FG / พิมเสนโรลออน 5 CC,True
7992,FG-PNR-TH-01003,พิมเสนโรลออน 5cc (6x1) 40U,All / FG / พิมเสนโรลออน 5 CC,True
8009,FG-PNR-TH-01004,พิมเสนโรลออน 5cc (1x1) กล่องขาว,All / FG / พิมเสนโรลออน 5 CC,True
8382,FG-PNR-TH-01005,พิมเสนโรลออน 5cc (1*1) ขวดเดี่ยว,All / FG / พิมเสนโรลออน 5 CC,True
8623,FG-PNR-TH-02001,พิมเสนโรลออน 5cc ครึ่งโหล,All / FG / พิมเสนโรลออน 5 CC,True
8624,FG-PNR-TH-02002,พิมเสนโรลออน 5cc 1โหล,All / FG / พิมเสนโรลออน 5 CC,True
8625,FG-PNR-TH-02003,พิมเสนโรลออน 5cc 2โหล,All / FG / พิมเสนโรลออน 5 CC,True
8626,FG-PNR-TH-03001,พิมเสนโรลออน 5cc หุ้ม,All / FG / พิมเสนโรลออน 5 CC,True
8627,FG-PNR-TH-04001,พิมเสนโรลออน 5cc ไม่หุ้ม ,All / SFG / น้ำยา,True
7994,FG-PNR-TW-01001,"Pim Saen Balm Oil (5cc Roll On) Taiwan Label 24*1
(Each carton contains 100 dozen)",All / FG / พิมเสนโรลออน 5 CC,True
7995,FG-PNR-TW-01002,พิมเสนโรลออน 5cc (24x1) 50U ไต้หวัน,All / FG / พิมเสนโรลออน 5 CC,True
8552,FG-PNR-TW-02001,พิมเสนโรลออน 5cc 1โหล ไต้หวัน,All / FG / พิมเสนโรลออน 5 CC,True
8553,FG-PNR-TW-02002,พิมเสนโรลออน 5cc 2โหล ไต้หวัน,All / FG / พิมเสนโรลออน 5 CC,True
8554,FG-PNR-TW-03001,พิมเสนโรลออน 5cc หุ้ม ไต้หวัน,All / FG / พิมเสนโรลออน 5 CC,True
8555,FG-PNR-TW-04001,พิมเสนโรลออน 5cc ไม่หุ้ม ไต้หวัน,All / FG / พิมเสนโรลออน 5 CC,True
7981,FG-PNR-XX-01001,"Pim Saen Balm Oil (5cc Roll On) English Label 12*1
(Each carton contains 80 dozen)",All / FG / พิมเสนโรลออน 5 CC,True
7979,FG-PNR-XX-01002,พิมเสนโรลออน 5cc (6x1) ตปท,All / FG / พิมเสนโรลออน 5 CC,True
7980,FG-PNR-XX-01003,PSN BO RO 3cc(6x1),All / FG / พิมเสนโรลออน 5 CC,True
8537,FG-PNR-XX-02001,พิมเสนโรลออน 5cc 1โหล ตปท,All / FG / พิมเสนโรลออน 5 CC,True
8538,FG-PNR-XX-03001,พิมเสนโรลออน 5cc หุ้ม ตปท,All / FG / พิมเสนโรลออน 5 CC,True
8539,FG-PNR-XX-04001,พิมเสนโรลออน 5cc ไม่หุ้ม ตปท,All / FG / พิมเสนโรลออน 5 CC,True
8195,FG-PPK-TH-01001,ยาดมพีเป๊กซ์ 2in1 (1*1),All / FG / ยาดม PP 2 in 1,True
8208,FG-PPK-TH-01002,Pepex 2in1 with keyholder (1*1)( Each carton contains 216 units ),All / FG / ยาดม PP 2 in 1,True
8209,FG-PPK-TH-01003,ยาดมพีเป๊กซ์ 2in1 (6x1) 18โหล,All / FG / ยาดม PP 2 in 1,True
8587,FG-PPK-TH-02001,ยาดมพีเป๊กซ์ 2in1 1ถาด,All / FG / ยาดม PP 2 in 1,True
8588,FG-PPK-TH-03001,ยาดมพีเป๊กซ์ 2in1 1แผง,All / FG / ยาดม PP 2 in 1,True
8589,FG-PPK-TH-04001,ยาดมพีเป๊กซ์ 2in1+พวงกุญแจ,All / FG / ยาดม PP 2 in 1,True
8590,FG-PPK-TH-05001,ยาดมพีเป๊กซ์ 2in1,All / FG / ยาดม PP 2 in 1,True
