mold_id,product_id,default_code,confidence
579,8031,SM-PLS-UP-01001,high
580,8032,SM-PLS-UP-02001,high
581,8025,SM-PLS-LO-01001,high
582,8026,SM-PLS-LO-02001,high
583,8327,SM-PLS-MI-01001,high
584,8320,SM-PLS-MI-02001,high
585,8029,SM-PLS-TU-01001,high
586,8030,SM-PLS-TU-02001,high
587,8027,SM-PLS-PU-01001,high
588,8028,SM-PLS-PU-02001,high
589,8294,SM-JOI-BU-01001,medium
589,8296,SM-JOI-GR-02001,medium
589,8293,SM-JOI-PK-01002,medium
589,8295,SM-JOI-PP-01001,medium
589,8297,SM-JOI-YW-01001,medium
590,8300,SM-JOI-BU-02001,medium
590,8302,SM-JOI-GN-01001,medium
590,8298,SM-JOI-PK-02001,medium
590,8299,SM-JOI-PK-02002,medium
590,8301,SM-JOI-PP-02001,medium
590,8283,SM-JOI-RE-02001,medium
590,8303,SM-JOI-YW-02001,medium
591,8287,SM-PPR-TH-02001,high
592,8024,SM-PPR-TH-03002,medium
593,8286,SM-PPR-TH-02003,high
594,8019,SM-PNC-BT-03001,high
595,8310,SM-PNC-CA-02001,high
596,8022,SM-PNF-CA-02001,high
597,8023,SM-PLK-UP-00001,high
598,8020,SM-PNC-PB-02001,medium
599,8313,SM-PNC-PB-01002,medium
600,8033,SM-HAN-PS-00001,high
601,8021,SM-PLS-PB-00001,medium
