Machine Name,Mold Name,Mapped Products
เครื่องฉีดพลาสติก 1,แม่พิมพ์พลาสติกตัวล่าง W01,ชิ้นส่วนยาดม PS ตัวล่างW01 (SM-PLS-LO-01001)
เครื่องฉีดพลาสติก 1,แม่พิมพ์พลาสติกตัวล่าง W02,ชิ้นส่วนยาดมตัวล่างW02 (SM-PLS-LO-02001)
เครื่องฉีดพลาสติก 1,แม่พิมพ์พลาสติกกระปุกพิมเสน 4โหล ,กระปุกพิมเสนน้ำ 4 โหล กึ่งสำเร็จ (SM-PNC-PB-02001)
เครื่องฉีดพลาสติก 1,แม่พิมพ์พลาสติกฝากระปุกพิมเสน 4โหล,ฝากระปุกพิมเสนน้ำ 4 โหล (SM-PNC-PB-01002)
เครื่องฉีดพลาสติก 1,แม่พิมพ์พลาสติกไม้แขวนเสื้อ,ไม้แขวนเสื้อสีเขียว (SM-HAN-PS-00001)
เครื่องฉีดพลาสติก 2,แม่พิมพ์พลาสติกตัวกลาง W01,ชิ้นส่วนยาดมตัวกลางW01 (SM-PLS-MI-01001)
เครื่องฉีดพลาสติก 2,แม่พิมพ์พลาสติกตัวกลาง W02,ชิ้นส่วนยาดมตัวกลางW02 (SM-PLS-MI-02001)
เครื่องฉีดพลาสติก 2,แม่พิมพ์พลาสติกกระปุกพิมเสน 4โหล ,กระปุกพิมเสนน้ำ 4 โหล กึ่งสำเร็จ (SM-PNC-PB-02001)
เครื่องฉีดพลาสติก 2,แม่พิมพ์พลาสติกฝากระปุกพิมเสน 4โหล,ฝากระปุกพิมเสนน้ำ 4 โหล (SM-PNC-PB-01002)
เครื่องฉีดพลาสติก 2,แม่พิมพ์พลาสติกไม้แขวนเสื้อ,ไม้แขวนเสื้อสีเขียว (SM-HAN-PS-00001)
เครื่องฉีดพลาสติก 3,แม่พิมพ์พลาสติกตัวต่อสี W01,ตัวต่อสี W01 ฟ้า (SM-JOI-BU-01001) | ตัวต่อสี W01 เขียว (SM-JOI-GR-02001) | ตัวต่อสี W01 ชมพู (SM-JOI-PK-01001) | ตัวต่อสี W01 ชมพูสะท้อนแสง (SM-JOI-PK-01002) | ตัวต่อสี W01 ม่วง (SM-JOI-PP-01001) | ตัวต่อสี W01 เหลือง (SM-JOI-YW-01001)
เครื่องฉีดพลาสติก 3,แม่พิมพ์พลาสติกตัวต่อสี W02,ตัวต่อสี W02 ฟ้า (SM-JOI-BU-02001) | ตัวต่อสี W02 เขียว (SM-JOI-GN-01001) | ตัวต่อสี W02 ชมพู (SM-JOI-PK-02001) | ตัวต่อสี W02 ชมพูสะท้อนแสง (SM-JOI-PK-02002) | ตัวต่อสี W02 ม่วง (SM-JOI-PP-02001) | ตัวต่อสี W02 แดง (SM-JOI-RE-02001) | ตัวต่อสี W02 เหลือง (SM-JOI-YW-02001)
