product_code,product_name,category,manufacturing_type,has_bom,bom_picking_type_id,route_ids,has_buy
RM-BOT-AC-01001,โฟมใส่ฝาขวดแก้วแบน 3cc,All / RM / บรรจุภัณฑ์,plastic,N,,"{5,58}",Y
RM-COT-PN-01001,สำลี,All / RM / บรรจุภัณฑ์,plastic,N,,"{1,5,58}",Y
RM-FIL-PS-01001,ก้นกรองมัดสำเร็จ,All / RM / บรรจุภัณฑ์,plastic,N,,"{1,5}",Y
RM-FIL-PS-01002,ก้นกรอง,All / RM / บรรจุภัณฑ์,plastic,N,,"{5,58}",Y
RM-FIL-PS-01003,ก้นกรองกระปุก,All / RM / บรรจุภัณฑ์,plastic,Y,60,"{61,63}",N
RM-FIL-PS-01004,ก้นกรองชุบน้ำยา PS,All / RM / บรรจุภัณฑ์,pharma,Y,59,"{60,62}",N
RM-FIL-PS-01005,ก้นกรองชุบน้ำยา Pepex,All / RM / บรรจุภัณฑ์,pharma,Y,59,{62},N
RM-FIL-PS-01006,ก้นกรองชุบน้ำยา MarkII,All / RM / บรรจุภัณฑ์,plastic,N,,"{1,5}",Y
RM-FIL-PS-01007,ก้นกรองชุบน้ำยา PAX,All / SFG / น้ำยา,pharma,Y,,NULL,N
RM-HTF-CN-00001,ฉลาก HTF PS ตัวบน จีน,All / RM / บรรจุภัณฑ์,plastic,N,,{5},Y
RM-HTF-CN-00002,ฉลาก HTF PS ตัวล่าง จีน,All / RM / บรรจุภัณฑ์,plastic,N,,{5},Y
RM-HTF-DE-00001,ฉลาก HTF PS ตัวบน เยอรมัน,All / RM / บรรจุภัณฑ์,plastic,N,,"{1,5,58}",Y
RM-HTF-DE-00002,ฉลาก HTF PS ตัวล่าง เยอรมัน,All / RM / บรรจุภัณฑ์,plastic,N,,"{1,5,58}",Y
RM-HTF-IL-00001,ฉลาก HTF MarkII อิสราเอล ตัวบน,All / RM / บรรจุภัณฑ์,plastic,N,,"{1,5,58}",Y
RM-HTF-IL-00002,ฉลาก HTF MarkII อิสราเอล ตัวล่าง,All / RM / บรรจุภัณฑ์,plastic,N,,"{1,5,58}",Y
RM-HTF-JP-00001,ฉลาก HTF MarkII NOSE MINT ตัวบน,All / RM / บรรจุภัณฑ์,plastic,N,,"{1,5,58}",Y
RM-HTF-JP-00002,ฉลาก HTF MarkII NOSE MINT ตัวล่าง,All / RM / บรรจุภัณฑ์,plastic,N,,"{1,5,58}",Y
RM-HTF-KR-00001,ฉลาก HTF MarkII เกาหลี ตัวบน ,All / RM / บรรจุภัณฑ์,plastic,N,,{5},Y
RM-HTF-KR-00002,ฉลาก HTF MarkII เกาหลี ตัวล่าง ,All / RM / บรรจุภัณฑ์,plastic,N,,{5},Y
RM-HTF-MY-00001,ฉลาก HTF PS ตัวบน มาเลเซีย,All / RM / บรรจุภัณฑ์,plastic,N,,{5},Y
RM-HTF-MY-00002,ฉลาก HTF PS ตัวล่าง มาเลเซีย,All / RM / บรรจุภัณฑ์,plastic,N,,"{5,58}",Y
RM-HTF-TH-00001,ฉลาก HTF PS ตัวบน,All / RM / บรรจุภัณฑ์,plastic,N,,"{5,58}",Y
RM-HTF-TH-00002,ฉลาก HTF PS ตัวล่าง,All / RM / บรรจุภัณฑ์,plastic,N,,"{5,58}",Y
RM-HTF-TH-01001,ฉลาก HTF PePex ตัวล่าง,All / RM / บรรจุภัณฑ์,plastic,N,,"{5,58}",Y
RM-HTF-TH-02001,ฉลาก HTF PePex2IN1พวงกุญแจ ตัวบน,All / RM / บรรจุภัณฑ์,plastic,N,,"{5,58}",Y
RM-HTF-TH-02002,ฉลาก HTF PePex2IN1พวงกุญแจ ตัวล่าง,All / RM / บรรจุภัณฑ์,plastic,N,,"{5,58}",Y
RM-HTF-TH-03001,ฉลาก HTF PSKey ตัวบน,All / RM / บรรจุภัณฑ์,plastic,N,,"{5,58}",Y
RM-HTF-TH-03002,ฉลาก HTF PSKey ตัวล่าง,All / RM / บรรจุภัณฑ์,plastic,N,,"{5,58}",Y
RM-HTF-TH-04001,ฉลาก HTF พิมเสนสำลี,All / RM / บรรจุภัณฑ์,plastic,N,,"{5,58}",Y
RM-HTF-TW-00001,ฉลาก HTF MarkII ไต้หวัน ตัวบน,All / RM / บรรจุภัณฑ์,plastic,N,,"{1,5,58}",Y
RM-HTF-TW-00002,ฉลาก HTF MarkII ไต้หวัน ตัวล่าง,All / RM / บรรจุภัณฑ์,plastic,N,,"{1,5,58}",Y
RM-HTF-XX-00001,ฉลาก HTF MarkII 3สูตร ตัวบน,All / RM / บรรจุภัณฑ์,plastic,N,,"{1,5,58}",Y
RM-HTF-XX-00002,ฉลาก HTF MarkII 3สูตร ตัวล่าง,All / RM / บรรจุภัณฑ์,plastic,N,,"{1,5,58}",Y
RM-HTF-XX-01001,ฉลาก HTF MarkII 2สูตร ตัวบน,All / RM / บรรจุภัณฑ์,plastic,N,,{5},Y
RM-HTF-XX-01002,ฉลาก HTF MarkII 2สูตร ตัวล่าง,All / RM / บรรจุภัณฑ์,plastic,N,,{5},Y
RM-HTF-XX-02001,ฉลาก HTF Pax-key ตัวบน,All / RM / บรรจุภัณฑ์,plastic,N,,"{5,58}",Y
RM-HTF-XX-02002,ฉลาก HTF Pax-key ตัวล่าง,All / RM / บรรจุภัณฑ์,plastic,N,,"{5,58}",Y
RM-MBS-BU-00001,สีผสมพลาสติก สีน้ำเงิน,All / RM / พลาสติก,plastic,N,,"{5,58}",Y
RM-MBS-GR-00001,สีผสมพลาสติก สีเขียว,All / RM / พลาสติก,plastic,N,,"{5,58}",Y
RM-MBS-PK-00001,สีผสมพลาสติก สีชมพูสะท้อนแสง,All / RM / พลาสติก,pharma,N,,"{5,58}",Y
RM-MBS-PK-00002,สีผสมพลาสติก สีชมพูเข้ม,All / RM / พลาสติก,pharma,N,,"{5,58}",Y
RM-MBS-RE-00001,สีผสมพลาสติก สีแดง ,All / RM / พลาสติก,plastic,N,,"{5,58}",Y
RM-MBS-RE-00002,สีผสมพลาสติก สีแดงเข้ม,All / RM / พลาสติก,plastic,N,,"{5,58}",Y
RM-MBS-VL-00001,สีผสมพลาสติก สีม่วง,All / RM / พลาสติก,plastic,N,,"{5,58}",Y
RM-MBS-WH-00001,สีผสมพลาสติก สีขาว,All / RM / พลาสติก,plastic,N,,"{5,58}",Y
RM-MBS-YL-00001,สีผสมพลาสติก สีเหลือง,All / RM / พลาสติก,plastic,N,,"{5,58}",Y
