root_fg,product_name,category,bom_picking_type_id,expected_factory,expected_main_route_id,actual_routes,issue_type
FG-MTS-XX-01001,"Mark II Inhaler 10*6 (5 dz)
( Each carton contains 20 units )",All / FG / ยาดม MARK II,,pharma,62,,missing_main_route_no_route
FG-PAK-XX-01001,"Pax 2 Ways Inhaler with keyholder blue 10*6 (5dz)
( Each carton contains 20 units )",All / FG / ยาดม PAX,,pharma,62,,missing_main_route_no_route
FG-PAK-XX-01002,ยาดมPax2WKB(1x6),All / FG / ยาดม PAX,,pharma,62,,missing_main_route_no_route
FG-PAS-XX-01001,"Pax 2 Ways Inhaler without keyholder blue 10*6 (5dz)
( Each carton contains 20 units )",All / FG / ยาดม PAX,,pharma,62,,missing_main_route_no_route
FG-PNC-TH-01001,พิมเสนสำลี 8cc (24x1),All / FG / พิมเสนสำลี 8 CC,,pharma,62,,missing_main_route_no_route
FG-PNC-TH-01002,"Pim Saen Balm Oil (8cc Cotton) Thai Label 12*1
(Each carton contains 120 dozen)",All / FG / พิมเสนสำลี 8 CC,,pharma,62,,missing_main_route_no_route
FG-PNC-TH-01003,พิมเสนสำลี 8cc (4x1) 100U,All / FG / พิมเสนสำลี 8 CC,,pharma,62,,missing_main_route_no_route
FG-PNC-TH-01004,พิมเสนสำลี 8cc (12x1) 30U,All / FG / พิมเสนสำลี 8 CC,,pharma,62,,missing_main_route_no_route
FG-PNF-TH-01003,แก้วแบน 3C ชั้น(1*1),All / FG / พิมเสนแก้วแบน 3 CC,,pharma,62,5:Buy,buy_only_on_bom_item
FG-PNR-TH-01004,พิมเสนโรลออน 5cc (1x1) กล่องขาว,All / FG / พิมเสนโรลออน 5 CC,,pharma,62,,missing_main_route_no_route
FG-PNR-TH-01005,พิมเสนโรลออน 5cc (1*1) ขวดเดี่ยว,All / FG / พิมเสนโรลออน 5 CC,,pharma,62,5:Buy,buy_only_on_bom_item
FG-PPK-TH-01003,ยาดมพีเป๊กซ์ 2in1 (6x1) 18โหล,All / FG / ยาดม PP 2 in 1,,pharma,62,,missing_main_route_no_route
FG-PPR-TH-01004,ยาดมพีเป๊กซ์แดง (1x1) 6ชิ้น กล่องขาว,All / FG / ยาดม PE-PEX,,pharma,62,,missing_main_route_no_route
FG-PSK-TH-01001,ยาดมโป๊ยเซียนพวงกุญแจ (1x1),All / FG / ยาดม PS (พวงกุญแจ),,pharma,62,,missing_main_route_no_route
FG-PSK-TH-01002,"Poy-Sian Inhaler with keyholder (Nigeria) 10*6 (5dz)
( Each carton contains 14 units ) ",All / FG / ยาดม PS (พวงกุญแจ),,pharma,62,,missing_main_route_no_route
FG-PSS-LA-01001,ยาดมโป๊ยเซียน(10x6) 5โหล ลาว,All / FG / ยาดมตราโป๊ยเซียน,,pharma,62,"1:Replenish on Order (MTO), 5:Buy",mto_buy_only_on_bom_item
FG-PSS-MY-01001,Poy-Sian Brand Mark II Inhaler  (Malaysia) 10*6 (5dz) MAL 20106012X ( Each carton contains 20 units ) ,All / FG / ยาดมตราโป๊ยเซียน,,pharma,62,,missing_main_route_no_route
FG-PSS-PB-01001,Piggy Bank - Poysian,All / FG / กระปุกออมสิน,,pharma,62,,missing_main_route_no_route
FG-PSS-PB-01002,Piggy Bank - Mark II,All / FG / กระปุกออมสิน,,pharma,62,,missing_main_route_no_route
FG-PSS-TH-01006,ยาดมโป๊ยเซียน (1*1) หลอดเดี่ยว,All / FG / ยาดมตราโป๊ยเซียน,,pharma,62,,missing_main_route_no_route
FG-PSS-TH-01006,ยาดมโป๊ยเซียน (4x6) 100โหล KP,All / FG / ยาดมตราโป๊ยเซียน,,pharma,62,,missing_main_route_no_route
