product_code,product_id,product_name,manufacturing_type,bom_picking_type_id,route_ids,orderpoint_count,orderpoint_locations,has_mto,has_orderpoint,replenishment_mode
FG-MTK-IL-01001,7967,ยาดม Mark II Key(1x1) หลอดเดี่ยว อิสราเอล,pharma,59,"{1,60,62}",0,,Y,N,MTO_ONLY
FG-MTS-GH-01001,7972,ยาดม Mark II (10x6) 5โหล กาน่า,pharma,59,"{1,60,62}",1,8,Y,Y,BOTH
FG-MTS-JP-01001,7970,ยาดม Mark II (1x1) หลอดเดี่ยว ญี่ปุ่น,pharma,59,"{1,60,62}",1,8,Y,Y,BOTH
FG-MTS-TW-01001,7971,ยาดม Mark II (1x1) หลอดเดี่ยว ไต้หวัน,pharma,59,"{1,60,62}",1,8,Y,Y,BOTH
FG-MTS-XX-01001,7965,ยาดม Mark II (10x6) 5โหล,pharma,59,"{1,60,62}",1,8,Y,Y,BOTH
FG-PAK-XX-01001,8237,ยาดม PAX-Key (10x6) 5โหล,pharma,59,"{1,60,62}",0,,Y,N,MTO_ONLY
FG-PAK-XX-01002,8238,ยาดมPax2WKB(1x6),pharma,59,"{1,60,62}",0,,Y,N,MTO_ONLY
FG-PAS-XX-01001,8235,ยาดม PAX (10x6) 5โหล,pharma,59,"{1,60,62}",0,,Y,N,MTO_ONLY
FG-PNC-ID-01001,7987,พิมเสนสำลี 8cc (12x1) อินโดนีเซีย,pharma,59,"{1,60,62}",0,,Y,N,MTO_ONLY
FG-PNC-MM-01001,7978,พิมเสนสำลี 8cc (12x1) พม่า,pharma,59,"{1,60,62}",0,,Y,N,MTO_ONLY
FG-PNC-TH-01001,7985,พิมเสนสำลี 8cc (24x1),pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PNC-TH-01002,7983,พิมเสนสำลี 8cc (12x1),pharma,59,{62},2,"29,8",N,Y,ORDERPOINT_ONLY
FG-PNC-TH-01003,7986,พิมเสนสำลี 8cc (4x1) 100U,pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PNC-TH-01004,7984,พิมเสนสำลี 8cc (12x1) 30U,pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PNC-TH-01005,8012,พิมเสนสำลี 8cc (1x1),pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PNC-XX-01001,7976,พิมเสนสำลี 8cc (12x1) ตปท,pharma,59,"{1,60,62}",1,8,Y,Y,BOTH
FG-PNF-ID-01001,7974,พิมเสน แก้วแบน 3cc (12x1) อินโดนีเซีย,pharma,59,"{1,60,62}",0,,Y,N,MTO_ONLY
FG-PNF-ID-04001,8529,พิมเสน แก้วแบน 3cc ไม่หุ้ม อินโดนีเซีย,pharma,59,"{1,60,62}",0,,Y,N,MTO_ONLY
FG-PNF-TH-01001,7973,พิมเสน แก้วแบน 3cc (12x1),pharma,59,{62},2,"29,8",N,Y,ORDERPOINT_ONLY
FG-PNF-TH-01002,7975,พิมเสน แก้วแบน 3cc (12x1) 20U,pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PNF-TH-01003,8366,แก้วแบน 3C ชั้น(1*1),pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PNF-XX-01001,7982,พิมเสน แก้วแบน 3cc (12x1) ตปท,pharma,59,"{1,60,62}",0,,Y,N,MTO_ONLY
FG-PNR-ID-01001,7990,พิมเสนโรลออน 5cc (12x1) อินโดนีเซีย,pharma,59,"{1,60,62}",0,,Y,N,MTO_ONLY
FG-PNR-MM-01001,7991,พิมเสนโรลออน 5cc (12x1) พม่า,pharma,59,"{1,60,62}",0,,Y,N,MTO_ONLY
FG-PNR-TH-01001,7989,พิมเสนโรลออน 5cc (12x1),pharma,59,{62},2,"29,8",N,Y,ORDERPOINT_ONLY
FG-PNR-TH-01002,7993,พิมเสนโรลออน 5cc (24x1),pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PNR-TH-01003,7992,พิมเสนโรลออน 5cc (6x1) 40U,pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PNR-TH-01004,8009,พิมเสนโรลออน 5cc (1x1) กล่องขาว,pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PNR-TH-01005,8382,พิมเสนโรลออน 5cc (1*1) ขวดเดี่ยว,pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PNR-TW-01001,7994,พิมเสนโรลออน 5cc (24x1) ไต้หวัน,pharma,59,"{1,60,62}",0,,Y,N,MTO_ONLY
FG-PNR-XX-01001,7981,พิมเสนโรลออน 5cc (12x1) ตปท,pharma,59,"{1,60,62}",1,8,Y,Y,BOTH
FG-PPK-TH-01002,8208,ยาดมพีเป๊กซ์ 2in1 (6x1),pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PPK-TH-01003,8209,ยาดมพีเป๊กซ์ 2in1 (6x1) 18โหล,pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PPR-TH-01001,8210,ยาดมพีเป๊กซ์แดง (1x6) แผง,pharma,59,{62},2,"29,8",N,Y,ORDERPOINT_ONLY
FG-PPR-TH-01002,8211,ยาดมพีเป๊กซ์แดง (10x6) 5โหล,pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PPR-TH-01003,8212,ยาดมพีเป๊กซ์แดง (2x6) 30โหล,pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PPR-TH-01004,8010,ยาดมพีเป๊กซ์แดง (1x1) 6ชิ้น กล่องขาว,pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PSK-TH-01001,8206,ยาดมโป๊ยเซียนพวงกุญแจ (1x1),pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PSK-TH-01002,8205,ยาดมโป๊ยเซียนพวงกุญแจ (10x6) 5โหล,pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PSS-DE-01001,8229,ยาดมโป๊ยเซียน(10x6) 5โหล เยอรมัน,pharma,59,"{1,60,62}",1,8,Y,Y,BOTH
FG-PSS-LA-01001,8228,ยาดมโป๊ยเซียน(10x6) 5โหล ลาว,pharma,59,"{1,60,62}",0,,Y,N,MTO_ONLY
FG-PSS-MM-01001,8227,ยาดมโป๊ยเซียน(10x6) 5โหล พม่า,pharma,59,"{1,60,62}",0,,Y,N,MTO_ONLY
FG-PSS-MY-01001,8226,ยาดมโป๊ยเซียน(10x6) 5โหล มาเลเซีย,pharma,59,"{1,60,62}",0,,Y,N,MTO_ONLY
FG-PSS-PB-01001,8035,กระปุกออมสินโป๊ยเซียน (1x1),plastic,60,{63},2,"29,8",N,Y,ORDERPOINT_ONLY
FG-PSS-PB-01002,8034,กระปุกออมสิน Mark II (1x1),plastic,60,{63},1,8,N,Y,ORDERPOINT_ONLY
FG-PSS-TH-01002,8215,ยาดมโป๊ยเซียน (10x6) 5โหล,pharma,59,{62},2,"29,8",N,Y,ORDERPOINT_ONLY
FG-PSS-TH-01003,8216,ยาดมโป๊ยเซียน (2x6) 70โหล ลังยาว,pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PSS-TH-01004,8217,ยาดมโป๊ยเซียน (4x6) 100โหล 7-11,pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PSS-TH-01005,8224,ยาดมโป๊ยเซียน (10x6) 80โหล,pharma,59,{62},2,"29,8",N,Y,ORDERPOINT_ONLY
