default_code,name,category,bom_id,bom_code,bom_type
SM-BLS-FO-00001,{'en_US': 'ฟอยล์ยาดม PAX 2way-Key'},All / SFG / พลาสติก / ชิ้นส่วนหลอด,3845,,normal
SM-BLS-FO-00003,{'en_US': 'ฟอยด์ยาดม PePex'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,3846,,normal
SM-BLS-FO-00004,{'en_US': 'ฟอยล์ยาดม PePex2IN1 พวงกุญแจ'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,3847,,normal
SM-BLS-FO-00005,{'en_US': 'ฟอยด์ยาดม PS'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,3848,,normal
SM-JOI-BU-01001,{'en_US': 'ตัวต่อสี W01 ฟ้า'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,2955,BOM-007-32,normal
SM-JOI-BU-02001,{'en_US': 'ตัวต่อสี W02 ฟ้า'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,2954,BOM-007-64,normal
SM-JOI-GN-01001,{'en_US': 'ตัวต่อสี W02 เขียว'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,2958,BOM-009-64,normal
SM-JOI-GR-02001,{'en_US': 'ตัวต่อสี W01 เขียว'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,2959,BOM-009-32,normal
SM-JOI-PK-01001,{'en_US': 'ตัวต่อสี W01 ชมพู'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,2953,BOM-006-32,normal
SM-JOI-PK-01002,{'en_US': 'ตัวต่อสี W01 ชมพูสะท้อนแสง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,2949,BOM-004-32,normal
SM-JOI-PK-02001,{'en_US': 'ตัวต่อสี W02 ชมพู'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,2952,BOM-006-64,normal
SM-JOI-PK-02002,{'en_US': 'ตัวต่อสี W02 ชมพูสะท้อนแสง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,2948,BOM-004-64,normal
SM-JOI-PP-01001,{'en_US': 'ตัวต่อสี W01 ม่วง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,2951,BOM-005-32,normal
SM-JOI-PP-02001,{'en_US': 'ตัวต่อสี W02 ม่วง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,2950,BOM-005-64,normal
SM-JOI-RE-02001,{'en_US': 'ตัวต่อสี W02 แดง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,3803,,normal
SM-JOI-YW-01001,{'en_US': 'ตัวต่อสี W01 เหลือง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,2957,BOM-008-32,normal
SM-JOI-YW-02001,{'en_US': 'ตัวต่อสี W02 เหลือง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,2956,BOM-008-64,normal
SM-MTS-JP-02001,{'en_US': 'ชิ้นส่วนยาดม MarkII NOSE MINT ตัวบน+ตัวกลาง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,3208,,normal
SM-MTS-JP-02002,{'en_US': 'ชิ้นส่วนยาดม MarkII NOSE MINT ตัวล่าง+หลอดน้ำ'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,3209,,normal
SM-MTS-JP-03001,{'en_US': 'ชิ้นส่วนยาดม MarkII NOSE MINT ตัวบน'},All / SFG / พลาสติก / ชิ้นส่วนหลอด (ประกอบ),3206,,normal
SM-MTS-JP-03002,{'en_US': 'ชิ้นส่วนยาดม MarkII NOSE MINT ตัวล่าง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด (ประกอบ),3207,,normal
SM-MTS-TW-02001,{'en_US': 'ชิ้นส่วนยาดม MarkII Taiwan ตัวบน+ตัวกลาง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,3185,,normal
SM-MTS-TW-02002,{'en_US': 'ชิ้นส่วนยาดม MarkII Taiwan ตัวล่าง+หลอดน้ำ'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,3186,,normal
SM-MTS-TW-03001,{'en_US': 'ชิ้นส่วนยาดม MarkII Taiwan ตัวบน'},All / SFG / พลาสติก / ชิ้นส่วนหลอด (ประกอบ),3183,,normal
SM-MTS-TW-03002,{'en_US': 'ชิ้นส่วนยาดม MarkII Taiwan ตัวล่าง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด (ประกอบ),3184,,normal
SM-MTS-XX-02001,{'en_US': 'ชิ้นส่วนยาดม MarkII 3สูตร ตัวบน+ตัวกลาง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,3139,,normal
SM-MTS-XX-02002,{'en_US': 'ชิ้นส่วนยาดม MarkII 3สูตร ตัวล่าง+หลอดน้ำ'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,3140,,normal
SM-MTS-XX-03001,{'en_US': 'ชิ้นส่วนยาดม MarkII 3สูตร ตัวบน'},All / SFG / พลาสติก / ชิ้นส่วนหลอด (ประกอบ),3141,,normal
SM-MTS-XX-03002,{'en_US': 'ชิ้นส่วนยาดม MarkII 3สูตร ตัวล่าง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด (ประกอบ),3142,,normal
