product_code,product_id,template_id,manufacturing_type_before,manufacturing_type_after,bom_id,bom_picking_type_id,route_ids_before,route_ids_after
SM-BLS-FO-00001,8018,8018,pharma,plastic,3845,60,,"61,63"
SM-PAK-XX-02001,8276,8276,pharma,plastic,4040,60,,"61,63"
SM-PAK-XX-03001,8275,8275,pharma,plastic,4038,60,,"61,63"
SM-PAK-XX-03002,8274,8274,pharma,plastic,4039,60,,"61,63"
SM-PAS-XX-02001,8272,8272,pharma,plastic,4030,60,,"61,63"
SM-PAS-XX-02002,8270,8270,pharma,plastic,4041,60,,"61,63"
SM-PAS-XX-03001,8271,8271,pharma,plastic,4028,60,,"61,63"
SM-PNC-BT-02001,8311,8311,plastic,plastic,3515,60,,"61,63"
SM-PSK-TH-02001,8291,8291,pharma,plastic,3094,60,,"61,63"
SM-PSK-TH-02002,8289,8289,pharma,plastic,3095,60,,"61,63"
SM-PSK-TH-03001,8290,8290,pharma,plastic,3092,60,,"61,63"
SM-PSK-TH-03002,8288,8288,pharma,plastic,3093,60,,"61,63"
SM-PSS-MY-02001,8324,8324,pharma,plastic,3020,60,,"61,63"
SM-PSS-MY-02002,8318,8318,pharma,plastic,3021,60,,"61,63"
SM-PSS-MY-03001,8321,8321,pharma,plastic,3018,60,,"61,63"
SM-PSS-MY-03002,8314,8314,pharma,plastic,3019,60,,"61,63"
