product_code,product_id,template_id,manufacturing_type_before,manufacturing_type_after,bom_id,bom_picking_type_id,route_ids_before,route_ids_after
SM-BLS-FO-00003,8284,8284,pharma,plastic,3846,60,62,"61,63"
SM-BLS-FO-00004,8278,8278,pharma,plastic,3847,60,62,"61,63"
SM-BLS-FO-00005,8304,8304,pharma,plastic,3848,60,"1,60,62","1,61,63"
SM-MTS-JP-02001,8262,8262,pharma,plastic,3208,60,"1,60,62","1,61,63"
SM-MTS-JP-02002,8260,8260,pharma,plastic,3209,60,"1,60,62","1,61,63"
SM-MTS-JP-03001,8261,8261,pharma,plastic,3206,60,"1,60,62","1,61,63"
SM-MTS-JP-03002,8259,8259,pharma,plastic,3207,60,"1,60,62","1,61,63"
SM-MTS-TW-02001,8266,8266,pharma,plastic,3185,60,"1,60,62","1,61,63"
SM-MTS-TW-02002,8264,8264,pharma,plastic,3186,60,"1,60,62","1,61,63"
SM-MTS-TW-03001,8265,8265,pharma,plastic,3183,60,"1,60,62","1,61,63"
SM-MTS-TW-03002,8263,8263,pharma,plastic,3184,60,"1,60,62","1,61,63"
SM-MTS-XX-02001,8269,8269,pharma,plastic,3139,60,"1,60,62","1,61,63"
SM-MTS-XX-02002,8328,8328,pharma,plastic,3140,60,"1,60,62","1,61,63"
SM-MTS-XX-03001,8252,8252,pharma,plastic,3141,60,"1,60,62","1,61,63"
SM-MTS-XX-03002,8251,8251,pharma,plastic,3142,60,"1,60,62","1,61,63"
SM-PLK-UP-00001,8023,8023,pharma,plastic,3221,60,"60,62","61,63"
SM-PLS-LO-02001,8026,8026,pharma,plastic,2946,60,"60,62","61,63"
SM-PLS-MI-02001,8320,8320,pharma,plastic,2944,60,"60,62","61,63"
SM-PLS-PU-02001,8028,8028,pharma,plastic,2962,60,"60,62","61,63"
SM-PLS-TU-02001,8030,8030,pharma,plastic,2960,60,"60,62","61,63"
SM-PLS-UP-02001,8032,8032,pharma,plastic,2942,60,"60,62","61,63"
SM-PPK-TH-02001,8282,8282,pharma,plastic,3799,60,62,"61,63"
SM-PPK-TH-02002,8280,8280,pharma,plastic,3801,60,62,"61,63"
SM-PPK-TH-03001,8281,8281,pharma,plastic,3800,60,62,"61,63"
SM-PPK-TH-03002,8279,8279,pharma,plastic,3802,60,62,"61,63"
SM-PPR-TH-02001,8287,8287,pharma,plastic,3785,60,62,"61,63"
SM-PPR-TH-02002,8285,8285,pharma,plastic,3786,60,62,"61,63"
SM-PPR-TH-02003,8286,8286,pharma,plastic,3788,60,62,"61,63"
SM-PPR-TH-03002,8024,8024,pharma,plastic,3787,60,62,"61,63"
SM-PSK-IS-02001,8256,8256,pharma,plastic,3224,60,"1,60,62","1,61,63"
SM-PSK-IS-02002,8254,8254,pharma,plastic,3225,60,"1,60,62","1,61,63"
SM-PSK-IS-03001,8255,8255,pharma,plastic,3222,60,"1,60,62","1,61,63"
SM-PSK-IS-03002,8253,8253,pharma,plastic,3223,60,"1,60,62","1,61,63"
SM-PSS-DE-02001,8326,8326,pharma,plastic,3052,60,"1,60,62","1,61,63"
SM-PSS-DE-02002,8317,8317,pharma,plastic,3053,60,"1,60,62","1,61,63"
SM-PSS-DE-03001,8323,8323,pharma,plastic,3050,60,"1,60,62","1,61,63"
SM-PSS-DE-03002,8316,8316,pharma,plastic,3051,60,"1,60,62","1,61,63"
SM-PSS-TH-02001,8308,8308,pharma,plastic,2966,60,"60,62","61,63"
SM-PSS-TH-02002,8306,8306,pharma,plastic,2967,60,"60,62","61,63"
SM-PSS-TH-03001,8307,8307,pharma,plastic,2964,60,"60,62","61,63"
SM-PSS-TH-03002,8305,8305,pharma,plastic,2965,60,"60,62","61,63"
