code,product_name,location_name,trigger,product_min_qty,product_max_qty,vendor_count
(no code),ก้นกรองชุบน้ำยา,GMP/Stock,auto,0.000000,0.000000,0
(no code),น้ำยา Mark II Solution (A),GMP/Stock,manual,0.000000,0.000000,0
(no code),น้ำยา Mark II Solution (B),GMP/Stock,manual,0.000000,0.000000,0
(no code),น้ำยา Mark II Solution (C),GMP/Stock,manual,0.000000,0.000000,0
(no code),น้ำยา Mark II Solution (D),GMP/Stock,manual,0.000000,0.000000,0
(no code),พวงกุญแจห่วงโซ่สามเหลี่ยม,GMP/Stock,auto,0.000000,0.000000,0
(no code),พิมเสนPS ฟอยด์หดกล่อง 1โหล,GMP/Stock,auto,0.000000,0.000000,0
(no code),ลังพิมเสนสำลี 100โหล,GMP/Stock,auto,0.000000,0.000000,0
MK-CLD-XX-00001,Calendar,GMP/Stock,manual,0.000000,0.000000,0
MK-CLD-XX-00001,Calendar,M-WH/Stock,manual,0.000000,0.000000,0
PK-BLS-PS-01002,แผงยาดม PS Key ,GMP/Stock,auto,0.000000,0.000000,0
PK-BLS-PS-01003,แผงยาดม PePex2IN1 พวงกุญแจ,GMP/Stock,auto,0.000000,0.000000,0
PK-BLS-PS-01006,แผงยาดม Pax2way key ,GMP/Stock,auto,0.000000,0.000000,0
PK-BLS-PS-01008,แผงเดี่ยวยาดม PS สามัญ พม่า,GMP/Stock,auto,0.000000,0.000000,0
PK-BLS-PS-01010,แผงเดี่ยวยาดม PS มาเลเซีย,GMP/Stock,auto,0.000000,0.000000,0
PK-BLS-PS-01012,แผงเดี่ยวยาดม PS เยอรมัน,GMP/Stock,auto,0.000000,0.000000,0
PK-BLS-PS-01013,แผงเดี่ยวยาดม PS MarkII GHANA,GMP/Stock,auto,0.000000,0.000000,0
PK-BLS-PS-01016,แผง 3 ยาดม Mark II,GMP/Stock,auto,0.000000,0.000000,0
PK-BOT-AC-01001,โรลออน-ขวด 5cc,GMP/Stock,auto,0.000000,0.000000,0
PK-BOT-AC-01002,โรลออน-ฝา 5cc,GMP/Stock,auto,0.000000,0.000000,0
PK-BOT-AC-01003,โรลออน-จุก 5cc,GMP/Stock,auto,0.000000,0.000000,0
PK-BOT-FT-01001,ขวดแก้วแบน 3cc,GMP/Stock,auto,0.000000,0.000000,0
PK-BOX-PN-00001,พิมเสน PS card,GMP/Stock,auto,0.000000,0.000000,0
PK-BOX-PN-01001,ถาดพิมเสนขวดแบน 1โหล,GMP/Stock,auto,0.000000,0.000000,0
PK-BOX-PN-01002,ถาดพิมเสนขวดแบน 1โหล อินโดนีเซีย,GMP/Stock,auto,0.000000,0.000000,0
PK-BOX-PN-02001,กล่องพิมเสน RollOn 6ขวด,GMP/Stock,auto,0.000000,0.000000,0
PK-BOX-PN-02002,กล่องพิมเสน RollOn 12ขวด,GMP/Stock,auto,0.000000,0.000000,0
PK-BOX-PN-02003,กล่องพิมเสน RollOn 2โหล,GMP/Stock,auto,0.000000,0.000000,0
PK-BOX-PN-02004,กล่องพิมเสน RollOn 12ขวด อินโดนีเซีย,GMP/Stock,auto,0.000000,0.000000,0
PK-BOX-PN-03001,ถาดพิมเสนสำลี 1โหล,GMP/Stock,auto,0.000000,0.000000,0
PK-BOX-PN-03002,ถาดพิมเสนสำลี 1โหล อินโดนีเซีย,GMP/Stock,auto,0.000000,0.000000,0
PK-BOX-PN-03003,กล่องพิมเสน 2โหล,GMP/Stock,auto,0.000000,0.000000,0
PK-BOX-PS-01001,กล่องยาดม PS สามัญ 2 โหล,GMP/Stock,auto,0.000000,0.000000,0
PK-BOX-PS-01003,กล่องยาดม PS 5โหล มาเลเซีย,GMP/Stock,auto,0.000000,0.000000,0
PK-BOX-PS-02001,กล่องยาดม PS MarkII 3สูตร 5โหล (ThailandBest),GMP/Stock,auto,0.000000,0.000000,0
PK-BOX-PS-02003,กล่องยาดม 24หลอด อิสราเอล,GMP/Stock,auto,0.000000,0.000000,0
PK-BOX-PS-03001,กล่องยาดม PePex 5โหล,GMP/Stock,auto,0.000000,0.000000,0
PK-BOX-PS-04001,ถาดใส่แผงยาดม PePex2IN1 พวงกุญแจ,GMP/Stock,auto,0.000000,0.000000,0
PK-BOX-PS-04002,กล่องยาดม PePex2IN1 พวงกุญแจ,GMP/Stock,auto,0.000000,0.000000,0
PK-BOX-PS-05001,กล่องยาดม Pax2way หัวมน 5โหล,GMP/Stock,auto,0.000000,0.000000,0
PK-BOX-PS-06001,กล่องยาดม PS Key 5โหล,GMP/Stock,auto,0.000000,0.000000,0
PK-BOX-PS-07001,กล่องขาวลายไทย 5x9x2.5,GMP/Stock,auto,0.000000,0.000000,0
PK-CAR-PN-01003,ลังพิมเสนแก้วแบน3cc 36โหล,GMP/Stock,auto,0.000000,0.000000,0
PK-CAR-PN-02002,ลังพิมเสน RollOn (6x1) 40แพ็ค 17x29x18,GMP/Stock,auto,0.000000,0.000000,0
PK-CAR-PN-02003,ลังพิมเสน RollOn 20โหล 17x29x18,GMP/Stock,auto,0.000000,0.000000,0
PK-CAR-PN-02004,ลังพิมเสน RollOn 100โหล 23x42x37,GMP/Stock,auto,0.000000,0.000000,0
PK-CAR-PN-03002,ลังพิมเสนสำลี 30โหล 25x26.5x19,GMP/Stock,auto,0.000000,0.000000,0
PK-CAR-PN-03003,ลังพิมเสนสำลี (4x1) 100unit ,GMP/Stock,auto,0.000000,0.000000,0
PK-CAR-PS-01003,ลังยาดม PS 80โหล สีขาว,GMP/Stock,auto,0.000000,0.000000,0
PK-CAR-PS-01004,ลังยาดม PS 70โหล แมคโคร 31x39x65,GMP/Stock,auto,0.000000,0.000000,0
PK-CAR-PS-01005,ลังยาดม PS 70โหล 31x39x43 ขาว,GMP/Stock,auto,0.000000,0.000000,0
PK-CAR-PS-01006,ลังยาดม PS 70โหล 31x39x43,GMP/Stock,auto,0.000000,0.000000,0
