scope,product_code,product_name,category,current_routes,recommended_route_gap,impact
SFG_PHARMA,FG-PNF-TH-03001,"[FG-PNF-TH-03001] พิมเสน แก้วแบน 3cc หุ้ม","All / SFG / น้ำยา","Manufacture (Pharma)","Add Auto Transfer Semi (Pharma) if this semi must move via staging/คลังลอย","MO may be created without Transfer Pharma"
SFG_PHARMA,FG-PNR-TH-04001,"[FG-PNR-TH-04001] พิมเสนโรลออน 5cc ไม่หุ้ม","All / SFG / น้ำยา","Manufacture (Pharma)","Add Auto Transfer Semi (Pharma) if staging transfer is required","MO may be created without Transfer Pharma"
SFG_PHARMA,FG-PPR-TH-02001,"[FG-PPR-TH-02001] ยาดมพีเป๊กซ์แดง กล่อง 5 โหล (หุ้ม)","All / SFG / น้ำยา","Manufacture (Pharma)","Add Auto Transfer Semi (Pharma) if staging transfer is required","MO may be created without Transfer Pharma"
SFG_PHARMA,FG-PPR-TH-02002,"[FG-PPR-TH-02002] ยาดมพีเป๊กซ์แดง กล่อง 5 โหล (ไม่หุ้ม)","All / SFG / น้ำยา","Manufacture (Pharma)","Add Auto Transfer Semi (Pharma) if staging transfer is required","MO may be created without Transfer Pharma"
SFG_PHARMA,SO-MTS-XX-01001,"[SO-MTS-XX-01001] น้ำยา Mark II Solution","All / SFG / น้ำยา","Manufacture (Pharma), Replenish on Order (MTO)","Add Auto Transfer Semi (Pharma) if staging transfer is required","MO/MTO chain may not create Transfer Pharma"
SFG_PHARMA,SO-PAS-XX-01001,"[SO-PAS-XX-01001] น้ำยา PaxNox","All / SFG / น้ำยา","Manufacture (Pharma), Replenish on Order (MTO)","Add Auto Transfer Semi (Pharma) if staging transfer is required","MO/MTO chain may not create Transfer Pharma"
SFG_PHARMA,SO-PAS-XX-01002,"[SO-PAS-XX-01002] น้ำยา Pax","All / SFG / น้ำยา","Manufacture (Pharma), Replenish on Order (MTO)","Add Auto Transfer Semi (Pharma) if staging transfer is required","MO/MTO chain may not create Transfer Pharma"
SFG_PHARMA,SO-PNS-XX-01001,"[SO-PNS-XX-01001] น้ำยา PimSaen","All / SFG / น้ำยา","Manufacture (Pharma)","Add Auto Transfer Semi (Pharma) if staging transfer is required","MO may be created without Transfer Pharma"
SFG_PHARMA,SO-PPR-UP-01001,"[SO-PPR-UP-01001] น้ำยา PePex Inhaler","All / SFG / น้ำยา","Manufacture (Pharma)","Add Auto Transfer Semi (Pharma) if staging transfer is required","MO may be created without Transfer Pharma"
SFG_PHARMA,SO-PPS-LO-01001,"[SO-PPS-LO-01001] น้ำยา PePex2in1 Solution","All / SFG / น้ำยา","Manufacture (Pharma)","Add Auto Transfer Semi (Pharma) if staging transfer is required","MO may be created without Transfer Pharma"
